"","Row","Column","Block","Population","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg"
"146",4,42,"2","2","2","2",1058.5399,"8/10/2020","8/19/2020","Sophie",NA,1064.7,6.1601
"147",4,43,"2","1","3","5",1072.7682,"8/10/2020","8/19/2020","Sophie",NA,1083.26,10.4918
"148",4,44,"2","61","4","4",1084.6059,"8/10/2020","8/19/2020","Sophie",NA,1090.23,5.6241
"149",4,45,"2","18","5","2",1081.1028,"8/10/2020","8/19/2020","Sophie",NA,1086.05,4.9472
"150",4,46,"2","46","4","1",1070.818,"8/10/2020","8/19/2020","Sophie",NA,1077.53,6.712
"151",5,1,"1","77","1","1",1082.3679,"8/10/2020","8/19/2020","Sophie",NA,1096.33,13.9621
"152",5,2,"1","21","5","3",1072.3703,"8/10/2020","8/19/2020","Sophie",NA,1079.62,7.2497
"153",5,3,"1","19","3","5",1070.4838,"8/10/2020","8/19/2020","Sophie",NA,1075.22,4.7362
"154",5,5,"1","32","1","3",1074.1986,"8/10/2020","8/19/2020","Sophie",NA,1077.35,3.1514
"155",5,6,"1","8","3","5",1070.7112,"8/10/2020","8/19/2020","Sophie",NA,1079.54,8.8288
"156",5,7,"1","11","1","2",1064.1428,"8/10/2020","8/19/2020","Sophie",NA,1075.45,11.3072
"157",5,8,"1","4","5","2",1064.1279,"8/10/2020","8/19/2020","Sophie",NA,1077.26,13.1321
"158",5,11,"1","3","2","4",1067.7851,"8/10/2020","8/19/2020","Sophie",NA,1070.57,2.7849
"159",5,13,"1","21","3","1",1061.1324,"8/10/2020","8/19/2020","Sophie",NA,1067.52,6.3876
"160",5,14,"1","49","2","3",1062.6541,"8/10/2020","8/19/2020","Sophie",NA,1065.72,3.0659
"161",5,15,"1","72","3","5",1069.604,"8/10/2020","8/19/2020","Sophie",NA,1082.1,12.496
"162",5,16,"1","47","1","5",1069.6892,"8/10/2020","8/19/2020","Sophie",NA,1079.67,9.9808
"163",5,18,"1","46","5","3",1070.1407,"8/10/2020","8/19/2020","Sophie",NA,1082.28,12.1393
"164",5,19,"1","21","3","5",1073.799,"8/10/2020","8/19/2020","Sophie",NA,1079.37,5.571
"165",5,20,"1","9","1","5",1079.5891,"8/10/2020","8/19/2020","Sophie",NA,1086.2,6.6109
"166",5,21,"1","47","4","5",1070.6354,"8/10/2020","8/19/2020","Sophie",NA,1075.92,5.2846
"167",5,22,"1","13","1","4",1086.2272,"8/10/2020","8/19/2020","Sophie",NA,1094.63,8.4028
"168",5,23,"2","3","4","3",1065.9688,"8/10/2020","8/19/2020","Sophie",NA,1070.22,4.2512
"169",5,24,"2","62","1","1",1066.4593,"8/10/2020","8/19/2020","Sophie",NA,1070.39,3.9307
"170",5,25,"2","12","5","2",1074.3067,"8/10/2020","8/19/2020","Sophie",NA,1077.98,3.6733
"171",5,26,"2","74","2","1",1078.4447,"8/10/2020","8/19/2020","Sophie",NA,1095.66,17.2153
"172",5,27,"2","30","5","2",1067.5085,"8/10/2020","8/19/2020","Sophie",NA,1074.37,6.8615
"173",5,28,"2","79","1","3",1078.459,"8/10/2020","8/19/2020","Sophie",NA,1084.49,6.031
"174",5,29,"2","17","1","3",1064.9647,"8/10/2020","8/19/2020","Sophie",NA,1069.97,5.0053
"175",5,30,"2","6","5","4",1064.6925,"8/10/2020","8/19/2020","Sophie",NA,1069.99,5.2975
"176",5,31,"2","77","4","2",1083.8062,"8/10/2020","8/19/2020","Sophie",NA,1093.96,10.1538
"177",5,32,"2","27","5","3",1062.552,"8/10/2020","8/19/2020","Sophie",NA,1064.32,1.768
"178",5,33,"2","40","3","1",1085.45,"8/10/2020","8/19/2020","Sophie",NA,1087.55,2.1
"179",5,34,"2","67","5","1",1061.0908,"8/10/2020","8/19/2020","Sophie",NA,1067.02,5.9292
"180",5,35,"2","17","5","1",1066.3334,"8/10/2020","8/19/2020","Sophie",NA,1074.48,8.1466
"181",5,36,"2","41","1","5",1063.065,"8/10/2020","8/19/2020","Sophie",NA,1067.72,4.655
"182",5,37,"2","8","3","3",1069.5973,"8/10/2020","8/19/2020","Sophie",NA,1073.64,4.0427
"183",5,38,"2","72","4","3",1065.4782,"8/10/2020","8/19/2020","Sophie",NA,1068.88,3.4018
"184",5,39,"2","77","5","1",1066.6486,"8/10/2020","8/19/2020","Sophie",NA,1075.11,8.4614
"185",5,40,"2","14","1","4",1059.0844,"8/10/2020","8/19/2020","Sophie",NA,1062.41,3.3256
"186",5,41,"2","2","1","5",1069.7345,"8/10/2020","8/19/2020","Sophie",NA,1075.19,5.4555
"187",5,42,"2","39","5","3",1079.5837,"8/10/2020","8/19/2020","Sophie",NA,1090.09,10.5063
