"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"46","MW003",3,5,23,2,4,3,1065.9688,"8/10/2020","8/19/2020","Sophie",NA,1070.22,4.2512,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"47","MW003",3,9,9,1,2,2,1071.2505,"8/10/2020","8/18/2020","Sophie",NA,1082.86,11.6095,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"48","MW003",3,16,37,4,3,1,1059.5273,"8/12/2020","8/15/2020","Sophie",NA,1066.72,7.1927,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"49","MW003",3,20,40,4,5,3,1077.2598,"8/12/2020","8/13/2020","Sophie",NA,1080.63,3.3702,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"50","MW003",3,18,45,4,1,1,1063.9658,"8/12/2020","8/14/2020","Sophie",NA,NA,-1063.9658,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"51","MW003",3,20,13,3,4,4,1067.2032,"8/12/2020","8/13/2020","Sophie",NA,1074.14,6.9368,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"52","MW003",3,6,20,1,5,1,1076.9356,"8/10/2020","8/19/2020","Sophie",NA,1092.49,15.5544,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"53","MW003",3,20,3,3,3,2,1056.8042,"8/12/2020","8/13/2020","Sophie",NA,1063,6.1958,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"54","MW003",3,1,22,1,3,5,1073.5268,"8/10/2020","8/21/2020","Sophie",NA,1078.06,4.5332,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"55","MW003",3,18,41,4,5,5,1069.588,"8/12/2020","8/14/2020","Sophie",NA,NA,-1069.588,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"56","MW003",3,18,10,3,5,2,1071.392,"8/12/2020","8/14/2020","Sophie",NA,NA,-1071.392,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"57","MW003",3,15,42,4,3,4,1080.7581,"8/11/2020","8/15/2020","Sophie",NA,1084.58,3.8219,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"58","MW003",3,17,7,3,4,5,1083.6447,"8/12/2020","8/15/2020","Sophie",NA,1095.1,11.4553,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"59","MW003",3,7,1,1,2,5,1059.6946,"8/10/2020","8/19/2020","Kavya",NA,1068.86,9.1654,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"60","MW003",3,10,26,2,5,4,1065.9595,"8/10/2020","8/18/2020","Sophie",NA,1079.83,13.8705,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"61","MW003",3,11,2,1,4,1,1075.0821,"8/11/2020","8/18/2020","Sophie",NA,1082.95,7.8679,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"62","MW003",3,21,43,4,4,2,1057.7779,"8/12/2020","8/13/2020","Sophie",NA,1070.39,12.6121,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"63","MW003",3,15,44,4,2,1,1076.0915,"8/11/2020","8/15/2020","Sophie",NA,1086.45,10.3585,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"64","MW004",4,8,24,2,2,2,1067.1825,"8/10/2020","8/18/2020","Sophie",NA,1070.79,3.6075,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"65","MW004",4,9,2,1,3,1,1069.3515,"8/10/2020","8/18/2020","Sophie",NA,1078.88,9.5285,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"66","MW004",4,5,8,1,5,2,1064.1279,"8/10/2020","8/19/2020","Sophie",NA,1077.26,13.1321,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"67","MW004",4,3,24,2,4,5,1067.0565,"8/10/2020","8/21/2020","Sophie",NA,1087.72,20.6635,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"68","MW004",4,19,4,3,2,5,1071.0171,"8/12/2020","8/14/2020","Sophie",NA,NA,-1071.0171,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"69","MW004",4,15,33,4,5,1,1063.0442,"8/11/2020","8/15/2020","Sophie",NA,1070.33,7.2858,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"70","MW004",4,4,16,1,1,1,1068.2441,"8/10/2020","8/19/2020","Sophie",NA,1073.87,5.6259,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"71","MW004",4,11,21,1,2,4,1082.6872,"8/11/2020","8/17/2020","Sophie",NA,1086.35,3.6628,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"72","MW004",4,3,29,2,4,4,1066.7028,"8/10/2020","8/19/2020","Sophie",NA,1071.98,5.2772,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"73","MW004",4,11,30,4,4,1,1073.9386,"8/11/2020","8/17/2020","Sophie",NA,1077.21,3.2714,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"74","MW004",4,7,12,1,4,2,1072.4595,"8/10/2020","8/19/2020","Kavya",NA,1077.47,5.0105,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"75","MW004",4,14,6,3,1,5,1067.6626,"8/11/2020","8/15/2020","Sophie",NA,1070.92,3.2574,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"76","MW004",4,8,32,2,3,3,1069.5374,"8/10/2020","8/18/2020","Sophie",NA,1077.37,7.8326,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"77","MW004",4,15,1,3,5,4,1064.4924,"8/11/2020","8/15/2020","Sophie",NA,1072.98,8.4876,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"78","MW004",4,1,42,2,1,3,1078.8983,"8/10/2020","8/21/2020","Sophie",NA,1085.46,6.5617,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"79","MW004",4,2,35,2,1,2,1068.1623,"8/10/2020","8/21/2020","Sophie",NA,1073.52,5.3577,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"80","MW004",4,16,20,3,2,3,1062.0447,"8/11/2020","8/15/2020","Sophie",NA,1067.96,5.9153,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"81","MW004",4,4,30,2,1,4,1073.4954,"8/10/2020","8/19/2020","Sophie",NA,1081.7,8.2046,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"82","MW004",4,18,9,3,4,3,1079.0224,"8/12/2020","8/14/2020","Sophie",NA,NA,-1079.0224,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"83","MW004",4,4,33,2,3,2,1058.4032,"8/10/2020","8/19/2020","Sophie",NA,1066.19,7.7868,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"84","MW005",5,16,12,3,2,1,1063.0013,"8/11/2020","8/15/2020","Sophie",NA,1067.08,4.0787,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"85","MW005",5,20,28,4,2,5,1076.5116,"8/12/2020","8/13/2020","Sophie",NA,1084.08,7.5684,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"86","MW005",5,14,34,4,4,3,1080.3989,"8/11/2020","8/15/2020","Sophie",NA,1063.18,-17.2189,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"87","MW005",5,6,27,2,5,3,1065.9294,"8/10/2020","8/19/2020","Kavya",NA,1071.46,5.5306,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"88","MW005",5,18,1,3,1,2,1066.9615,"8/12/2020","8/14/2020","Sophie",NA,NA,-1066.9615,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
