"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Comment","Date","Dead","Leaf_not_coll","Date_weighed_Soaked","Leaf_weight_g_Soaked","Photographed","Date_processed_ImageJ","Area_mm_sq","Length_mm","Width_mm","Len_div_wid","Comment.1","Dates_dried","Date_weighed_dried","Leaf_weight_g_Dried","Weighed_by","SLA","LDMC","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"30","MW002",2,19,16,3,5,1,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"31","MW002",2,7,45,2,5,4,NA,NA,0,NA,"8/6/2020",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"32","MW002",2,4,19,1,3,1,NA,NA,0,NA,"8/6/2020",0.4225,"yes",20200913,1467.285,78.98,27.14,2.9101,"","6/1/21-6/3/21","6/3/2021",0.0663,"Olivia",22.13099548,0.156923077,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"33","MW002",2,21,13,3,4,4,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"34","MW002",2,2,34,2,4,3,NA,NA,0,NA,"8/6/2020",1.2278,"yes",20200910,2569.012,106.54,40.35,2.6404,"","6/1/21-6/3/21","6/3/2021",0.185,"Olivia",13.88655135,0.150676006,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"35","MW002",2,5,41,2,1,5,NA,NA,0,NA,"8/6/2020",0.6864,"yes",20200916,2448.504,103.39,33.6,3.0771,"","6/1/21-6/3/21","6/3/2021",0.0912,"Olivia",26.84763158,0.132867133,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"36","MW002",2,18,46,4,2,4,NA,NA,0,NA,"8/8/2020",0.2684,"yes",20201016,953.192,86.17,14.73,5.85,"the leaf had noticeable herbivory","5/15/21-5/17/21","5/19/2021",0.0706,"Olivia",13.50130312,0.263040239,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"37","MW002",2,19,1,3,2,1,NA,NA,0,NA,"8/8/2020",0.7454,"yes",20201017,2434.488,109.92,29.48,3.7286,"","5/26/21-5/28/21","6.1.21",0.1153,"Olivia",21.11437988,0.15468205,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"38","MW002",2,18,6,3,3,3,NA,NA,0,NA,"8/8/2020",1.4564,"yes",20201016,5453.748,129.5,61.13,2.1184,"folded","5/15/21-5/17/21","5/19/2021",0.2521,"Olivia",21.63327251,0.17309805,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"39","MW002",2,20,44,4,3,5,NA,NA,0,NA,"8/8/2020",1.1596,"yes",20201021,4124.725,128.58,43.71,2.9417,"","5/26/21-5/28/21","6.1.21",0.222,"Olivia",18.57984234,0.191445326,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"40","MW002",2,16,28,4,4,2,NA,NA,0,NA,"8/8/2020",0.7062,"yes",20201011,2868.003,107.3,36.95,2.9039,"","5/22/21-5/24/21","5/28/2021",0.1804,"Olivia",15.89802106,0.255451713,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
