"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Dead_June","Comment_June","Dead_Sept","Comment_Sept","dead_2020","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score.x","Urb_score.y"
"45","MW002",2,2,34,2,4,3,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"46","MW002",2,20,34,4,5,2,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"47","MW002",2,2,28,2,5,5,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"48","MW002",2,3,14,1,2,5,"0","",0,"",0,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652,0.0619652
"49","MW003",3,11,2,1,4,1,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"50","MW003",3,21,38,4,3,3,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"51","MW003",3,7,1,1,2,5,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"52","MW003",3,1,22,1,3,5,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"53","MW003",3,16,43,4,2,3,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"54","MW003",3,5,23,2,4,3,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"55","MW003",3,5,11,1,2,4,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"56","MW003",3,18,10,3,5,2,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"57","MW003",3,18,41,4,5,5,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"58","MW003",3,6,20,1,5,1,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"59","MW003",3,10,26,2,5,4,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"60","MW003",3,15,42,4,3,4,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"61","MW003",3,20,13,3,4,4,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"62","MW003",3,20,40,4,5,3,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"63","MW003",3,15,44,4,2,1,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"64","MW003",3,9,9,1,2,2,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"65","MW003",3,20,3,3,3,2,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"66","MW003",3,17,7,3,4,5,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"67","MW003",3,21,43,4,4,2,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"68","MW003",3,18,45,4,1,1,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"69","MW003",3,16,37,4,3,1,"0","",0,"",0,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855,-0.5488855
"70","MW004",4,3,24,2,4,5,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"71","MW004",4,9,2,1,3,1,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"72","MW004",4,4,33,2,3,2,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"73","MW004",4,7,12,1,4,2,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"74","MW004",4,4,16,1,1,1,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"75","MW004",4,11,37,4,2,1,"0","",1,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"76","MW004",4,5,8,1,5,2,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"77","MW004",4,3,9,1,3,5,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"78","MW004",4,19,4,3,2,5,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"79","MW004",4,4,30,2,1,4,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"80","MW004",4,11,21,1,2,4,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"81","MW004",4,16,20,3,2,3,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"82","MW004",4,11,30,4,4,1,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"83","MW004",4,8,24,2,2,2,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"84","MW004",4,15,1,3,5,4,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
"85","MW004",4,1,42,2,1,3,"0","",0,"",0,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644,-0.9282644
