"","Pop_ID","Population","X6.6_main","X11.7","X15_main","X17.2","X17.6_main","X18.9_internalstandard","X23.2","total","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"16","MW017",17,0.28670243,0,0.06353709,0.009556237,0.023606672,0.4,0.002486265,0.385888694,17,"AS030",43.501061,-79.844567,"Rural",41192.64328354,41.19264328354,"Rural",-0.230729
"17","MW018",18,0.128575947,0,0.082958807,0.006597464,0.012913651,0.4,0.004531338,0.235577206,18,"AS031",43.484111,-79.837702,"Rural",41532.0035061599,41.5320035061599,"Rural",-0.0445896
"18","MW019",19,0.232857114,0,0.050320619,0.008269833,0.029672615,0.4,0,0.32112018,19,"AS032",43.41401,-79.953028,"Rural",53473.1891361251,53.4731891361251,"Rural",-3.44897
"19","MW020",20,0.346647774,0,0.084787231,0.016066439,0.032584527,0.4,0,0.480085971,20,"AS033",43.387612,-79.959232,"Rural",55443.5483441203,55.4435483441203,"Rural",-3.34998
"20","MW021",21,0.149568428,0,0.058569954,0.009637692,0.0130023,0.4,0.002028819,0.232807193,21,"AS034",43.399222,-79.930576,"Rural",52795.3944398004,52.7953944398004,"Rural",-3.55627
"21","MW023",23,0.219953525,0.014847363,0.08796743,0.00741244,0.008513233,0.4,0.003649128,0.342343119,23,"AS036",43.371308,-79.981819,"Rural",57965.848752526,57.965848752526,"Rural",-3.23351
"22","MW026",26,0.265121641,0,0.050111167,0.014483579,0.026802154,0.4,0.00214882,0.358667361,26,"AS039",43.719453,-79.445163,"North",8725.65115733648,8.72565115733648,"Urban",1.69829
"23","MW027",27,0.377137261,0.019769401,0.090830245,0.011856586,0.032521052,0.4,0.004346289,0.536460834,27,"AS040",43.726466,-79.445593,"North",9384.80336002964,9.38480336002964,"Urban",0.822976
"24","MW028",28,0.290021801,0.015468654,0.04501875,0.020331349,0.036211816,0.4,0.004155835,0.411208205,28,"AS041",43.713472,-79.463271,"North",9188.66419885103,9.18866419885103,"Urban",1.62646
"25","MW029",29,0.419922751,0,0.008269666,0.007264016,0.01162494,0.4,0.001416685,0.448498058,29,"AS042",43.713584,-79.475768,"North",9947.02200379316,9.94702200379316,"Urban",1.68161
"26","MW030",30,0.166356571,0,0.031690495,0.01207918,0.009951732,0.4,0,0.220077977,30,"AS043",43.71387,-79.505919,"North",11929.4361220938,11.9294361220938,"Urban",0.942832
"27","MW031",31,0.133665552,0,0.039162279,0.008869172,0.007014869,0.4,0.002065384,0.190777256,31,"AS044",43.713092,-79.515599,"North",12549.9941861896,12.5499941861896,"Urban",1.87618
"28","MW032",32,0.116261809,0,0.023852939,0.009161607,0.006681208,0.4,0.006576522,0.162534086,32,"AS045",43.66963,-79.498027,"South",9547.46298971845,9.54746298971845,"Urban",1.9821
"29","MW035",35,0.096207194,0,0.022642606,0.005336919,0.008424009,0.4,0.008174555,0.140785283,35,"AS048",43.349551,-80.098407,"Rural",67250.0474239397,67.2500474239397,"Rural",-3.55182
"30","MW036",36,0.121788176,0,0.019939966,0.008710831,0.011000403,0.4,0.003902596,0.165341972,36,"AS049",43.321018,-80.049313,"Rural",65630.649050805,65.630649050805,"Rural",-3.25583
"31","MW039",39,0.166985976,0,0.050028937,0.004336224,0.007259594,0.4,0.003400767,0.232011499,39,"AS052",43.701432,-79.56251,"North",15458.9940728025,15.4589940728025,"Urban",2.30737
"32","MW040",40,0.222335171,0,0.018193159,0.005601975,0.011381811,0.4,0.002633882,0.260145998,40,"AS053",43.690086,-79.572325,"North",15864.0513430648,15.8640513430648,"Urban",1.5481
"33","MW041",41,0.436470396,0.018614224,0.076747487,0.006040586,0.010575594,0.4,0,0.548448286,41,"AS054",43.675131,-79.571575,"North",15496.0628619836,15.4960628619836,"Urban",0.524692
"34","MW042",42,0.156304067,0,0.030091416,0.008772175,0.005362815,0.4,0,0.200530473,42,"AS055",43.664067,-79.577284,"North",15838.6656760841,15.8386656760841,"Urban",2.65813
"35","MW045",45,0.131904037,0,0.117575124,0.014765703,0.032084182,0.4,0.001386765,0.297715812,45,"AS058",43.335538,-79.962974,"Rural",59030.3809861202,59.0303809861202,"Rural",-2.92002
"36","MW046",46,0.265794592,0.013476569,0.053012751,0.004488046,0.009402783,0.4,0.005676619,0.35185136,46,"AS059",43.343046,-79.959704,"Rural",58314.3855323293,58.3143855323293,"Rural",-2.26854
"37","MW047",47,0.312126072,0,0.039257098,0.005020671,0.009596721,0.4,0.003858187,0.36985875,47,"AS060",43.519441,-79.750471,"Rural",33468.5354488643,33.4685354488643,"Rural",-2.66342
"38","MW049",49,0.096116065,0,0.013193381,0.00298213,0.010582837,0.4,0.004809109,0.127683523,49,"AS062",43.534939,-79.732912,"South",31431.8593230486,31.4318593230486,"Urban",0.2286
"39","MW051",51,0.308044114,0,0.183648393,0.007377766,0.00878576,0.4,0.004014251,0.511870283,51,"AS064",43.669676,-79.422881,"South",3692.60866191731,3.69260866191731,"Urban",2.67139
"40","MW056",56,0.162371573,0.008261108,0.099715544,0.007089308,0.012146403,0.4,0.011064402,0.300648338,56,"AS069",43.671068,-79.452408,"South",5987.40587556773,5.98740587556773,"Urban",2.24942
"41","MW057",57,0.231427006,0,0.050207626,0.006304716,0.009922252,0.4,0.007658201,0.305519801,57,"AS070",43.67024,-79.462135,"South",6722.34816456428,6.72234816456428,"Urban",2.71762
"42","MW061",61,0.241545553,0,0.04449697,0.008835472,0.009557397,0.4,0.003424342,0.307859734,61,"AS074",43.654607,-79.607519,"North",18252.5904969499,18.2525904969498,"Urban",0.644411
"43","MW062",62,0.312368171,0,0.057195913,0.007365519,0.015519316,0.4,0.006063731,0.398512651,62,"AS075",43.651476,-79.617876,"North",19093.8744133194,19.0938744133194,"Urban",0.697666
"44","MW064",64,0.150786639,0,0.136859623,0.010693572,0.019923838,0.4,0.004452333,0.322716005,64,"AS077",43.628807,-79.652009,"North",22053.3186692026,22.0533186692026,"Urban",1.05287
"45","MW067",67,0.087891049,0,0.045952685,0.003337004,0.008857395,0.4,0.011688489,0.157726621,67,"AS080",43.613475,-79.705867,"North",26612.5138912041,26.6125138912041,"Urban",3.37284
"46","MW068",68,0.317429447,0,0.042554569,0.004834034,0.006883454,0.4,0.008109303,0.379810807,68,"AS081",43.595802,-79.719547,"North",28107.1525454643,28.1071525454643,"Urban",1.16536
"47","MW069",69,0.270271427,0,0.085675029,0.007224988,0.017997044,0.4,0.010829265,0.391997753,69,"AS082",43.553597,-79.699608,"South",28120.3606988092,28.1203606988092,"Urban",1.41576
"48","MW072",72,0.216418852,0,0.072248878,0.004231651,0.00919351,0.4,0.007815926,0.309908818,72,"AS085",43.5789,-79.713398,"North",28148.0398703139,28.1480398703139,"Urban",1.55917
