"","Patch_ID","Pop_ID","Population","Latitude","Longitude","Transect_ID","CTD_m","City_dist"
"31","AS044","MW031",31,43.713092,-79.515599,"North",12549.9941861896,12.5499941861896
"32","AS045","MW032",32,43.66963,-79.498027,"South",9547.46298971845,9.54746298971845
"33","AS046","MW033",33,43.358912,-80.043033,"Rural",62880.6509103204,62.8806509103204
"34","AS047","MW034",34,43.357422,-80.052572,"Rural",63623.8543019205,63.6238543019205
"35","AS048","MW035",35,43.349551,-80.098407,"Rural",67250.0474239397,67.2500474239397
"36","AS049","MW036",36,43.321018,-80.049313,"Rural",65630.649050805,65.630649050805
"37","AS050","MW037",37,43.702158,-79.543737,"North",14067.1690528913,14.0671690528913
"38","AS051","MW038",38,43.701032,-79.549473,"North",14454.9770575458,14.4549770575458
"39","AS052","MW039",39,43.701432,-79.56251,"North",15458.9940728025,15.4589940728025
"40","AS053","MW040",40,43.690086,-79.572325,"North",15864.0513430648,15.8640513430648
"41","AS054","MW041",41,43.675131,-79.571575,"North",15496.0628619836,15.4960628619836
"42","AS055","MW042",42,43.664067,-79.577284,"North",15838.6656760841,15.8386656760841
"43","AS056","MW043",43,43.32296,-80.038276,"Rural",64774.6636756663,64.7746636756663
"44","AS057","MW044",44,43.330042,-79.995566,"Rural",61507.9307080729,61.5079307080729
"45","AS058","MW045",45,43.335538,-79.962974,"Rural",59030.3809861202,59.0303809861202
"46","AS059","MW046",46,43.343046,-79.959704,"Rural",58314.3855323293,58.3143855323293
"47","AS060","MW047",47,43.519441,-79.750471,"Rural",33468.5354488643,33.4685354488643
"48","AS061","MW048",48,43.530493,-79.738194,"Rural",32031.1492805589,32.0311492805589
"49","AS062","MW049",49,43.534939,-79.732912,"South",31431.8593230486,31.4318593230486
"50","AS063","MW050",50,43.535065,-79.721652,"South",30608.5218198681,30.6085218198681
"51","AS064","MW051",51,43.669676,-79.422881,"South",3692.60866191731,3.69260866191731
"52","AS065","MW052",52,43.680726,-79.411251,"South",3653.54406837996,3.65354406837996
"53","AS066","MW053",53,43.691138,-79.427943,"South",5418.57185489891,5.41857185489891
"54","AS067","MW054",54,43.67876,-79.431977,"South",4811.40388831811,4.81140388831811
"55","AS068","MW055",55,43.674579,-79.446438,"South",5654.8603206823,5.6548603206823
"56","AS069","MW056",56,43.671068,-79.452408,"South",5987.40587556773,5.98740587556773
"57","AS070","MW057",57,43.67024,-79.462135,"South",6722.34816456428,6.72234816456428
"58","AS071","MW058",58,43.671812,-79.474258,"South",7712.75968942053,7.71275968942053
"59","AS072","MW059",59,43.670454,-79.482484,"South",8329.97475936821,8.32997475936821
"60","AS073","MW060",60,43.646988,-79.583587,"North",16358.206604022,16.358206604022
"61","AS074","MW061",61,43.654607,-79.607519,"North",18252.5904969499,18.2525904969498
"62","AS075","MW062",62,43.651476,-79.617876,"North",19093.8744133194,19.0938744133194
"63","AS076","MW063",63,43.63776,-79.635241,"North",20591.1840985211,20.5911840985211
"64","AS077","MW064",64,43.628807,-79.652009,"North",22053.3186692026,22.0533186692026
"65","AS078","MW065",65,43.626304,-79.673743,"North",23826.3898906363,23.8263898906363
"66","AS079","MW066",66,43.618104,-79.701542,"North",26180.12867645,26.18012867645
"67","AS080","MW067",67,43.613475,-79.705867,"North",26612.5138912041,26.6125138912041
"68","AS081","MW068",68,43.595802,-79.719547,"North",28107.1525454643,28.1071525454643
"69","AS082","MW069",69,43.553597,-79.699608,"South",28120.3606988092,28.1203606988092
"70","AS083","MW070",70,43.571026,-79.733337,"North",29949.8682493043,29.9498682493043
"71","AS084","MW071",71,43.564655,-79.720469,"North",29209.6546494702,29.2096546494702
"72","AS085","MW072",72,43.5789,-79.713398,"North",28148.0398703139,28.1480398703139
