"","Pop_ID","Population","Alive_ramets_DC3","Block","Column","Comment_DC1","Comment_DC2","Comment_DC3","Date_Measured_DC1","Date_Measured_DC2","Date_Measured_DC3","Dead_DC1","Dead_DC2","Dead_DC3","Dead_ramets_DC3","Deer_damage_DC3","Exposed_rhizome_DC1","Family","Herbivory_DC3","Herbivory_mean_DC3","Measurer_DC1","Measurer_DC2","Measurer_DC3","Monarch_damage_DC3","Num_Ramets_DC1","Num_Ramets_DC2","Replicate","Row","Total_Height_DC1","Total_Height_DC2","Total_height_DC3","Dead_2019","date_diff","rel_growth_rate","X","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_score"
"30","MW002",2,1,4,41,"","",NA,"6/4/2019","6/17/2019","9/1/2019","no","0","0",1,"0","0",4,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",3,3,1,16,58,163,9.4,0,89,-0.0204464418120276,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"31","MW002",2,1,2,45,"","",NA,"6/6/2019","6/18/2019","9/3/2019","maybe","1","0",0,"0","0",5,NA,NA,"Sophie","Sophie","Sophie","1",0,0,4,7,0,0,3.2,0,89,0.00183315516635596,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"32","MW002",2,2,3,24,"","",NA,"6/3/2019","6/16/2019","8/31/2019","no","0","0",1,"0","1",3,NA,NA,"Sophie","Sophie","Sophie","1",4,3,2,16,31,113,13.9,0,89,-0.00901234117245506,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"33","MW002",2,1,3,4,"","",NA,"6/3/2019","6/16/2019","8/30/2019","maybe","1","0",0,"0","0",1,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","0",0,0,4,21,0,0,2.4,0,88,-0.00141512798461477,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"34","MW002",2,2,4,28,"","",NA,"6/4/2019","6/17/2019","9/1/2019","maybe","1","0",0,"0","0",4,"0,0,0,0,96",0.192,"Sophie","Sophie","Sophie","1",0,0,2,16,0,0,17.9,0,89,0.0211775360994012,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"35","MW002",2,3,4,31,"","",NA,"6/4/2019","6/17/2019","9/1/2019","no","0","0",1,"0","0",1,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",1,1,3,14,28,110,25.7,0,89,-0.000963073239034041,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"36","MW002",2,1,2,41,"","",NA,"6/7/2019","6/19/2019","9/4/2019","nothing there","1","0",0,"0","0",1,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","0",0,0,5,5,0,0,5,0,89,0.00684761699364158,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"37","MW002",2,NA,3,16,"","",NA,"6/3/2019","6/16/2019","8/30/2019","nothing there","1","1",NA,"0","0",5,"",NA,"Sophie","Sophie","Sophie","0",0,0,1,19,0,0,0,1,88,NA,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"38","MW002",2,1,4,44,"","",NA,"6/3/2019","6/17/2019","9/1/2019","no","0","0",1,"1","0",3,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","1",7,3,5,20,115,259,25.8,0,90,-0.0166061959603964,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"39","MW002",2,3,3,1,"","",NA,"6/3/2019","6/16/2019","8/30/2019","no","0","0",0,"0","0",2,"2,0,0,2,2",0.012,"Sophie","Sophie","Sophie","0",3,3,1,19,67,374,61.5,0,88,-0.000973357324755604,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"40","MW002",2,3,3,1,"","",NA,"6/3/2019","6/16/2019","8/30/2019","no","0","0",0,"0","1",3,NA,NA,"Sophie","Sophie","Sophie","1",7,3,4,20,65,189,29.5,0,88,-0.00897723871079389,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"41","MW002",2,2,2,28,"","",NA,"6/7/2019","6/19/2019","9/4/2019","maybe","1","0",0,"0","0",5,"0,0,0,0,0",0,"Sophie","Sophie","Sophie","0",0,0,5,2,0,0,14.4,0,89,0.0187329011975501,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"42","MW002",2,1,1,14,"","",NA,"6/7/2019","6/19/2019","9/3/2019","no","0","0",0,"0","0",2,NA,NA,"Vanessa","Sophie","Sophie","1",1,1,5,3,27,80,13.5,0,88,-0.00787667250636302,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
"43","MW002",2,2,1,10,"","",NA,"6/7/2019","6/19/2019","9/3/2019","maybe","1","0",1,"0","0",5,NA,NA,"Vanessa","Sophie","Sophie","1",0,0,3,3,0,0,9.9,0,88,0.0146878949675062,2,43.550225,-79.654062,"South",24987.050922191,24.987050922191,0.0619652
