1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NA
2,20,1,18,5,1,6/19/2019,,maybe,yes,0,0,,,,,,,,,Sophie,Vanessa,no,0
2,21,1,79,1,4,6/19/2019,,no,no,61,111,17,81,13,,,,,,Sophie,Vanessa,no,0
2,22,1,77,1,5,6/19/2019,,no,no,2,13,11,2,,,,,,,Sophie,Vanessa,yes,1
2,23,1,31,4,2,6/19/2019,,no,no,95,328,45,141,142,,,,,,Sophie,Vanessa,no,0
2,24,2,47,2,3,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Sophie,,0
2,25,2,68,5,3,6/19/2019,,no,no,5,36,36,,,,,,,,Sophie,Sophie,no,0
2,26,2,28,1,4,6/19/2019,,maybe,yes,0,0,,,,,,,,,Sophie,Sophie,no,0
2,27,2,14,3,5,6/19/2019,,nothing there,no,0,49,41,8,,,,,,,Sophie,Sophie,,0
2,28,2,2,5,5,6/19/2019,,maybe,yes,0,0,,,,,,,,,Sophie,Sophie,no,0
2,29,2,42,2,2,6/19/2019,,maybe,yes,0,0,,,,,,,,,Sophie,Sophie,no,0
2,30,2,41,1,1,6/19/2019,,maybe,yes,0,0,,,,,,,,,Sophie,Sophie,no,0
2,31,2,68,3,3,6/19/2019,,no,no,25,60,60,,,,,,,,Sophie,Sophie,no,0
2,32,2,14,4,2,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Sophie,,0
2,33,2,72,1,2,6/19/2019,,no,no,5,26,26,,,,,,,,Sophie,Sophie,no,0
2,34,2,2,4,3,6/19/2019,,no,no,27,62,62,,,,,,,,Sophie,Sophie,yes,1
2,35,2,4,1,2,6/19/2019,,no,no,13,56,20,36,,,,,,,Sophie,Sophie,yes,1
2,36,2,49,4,3,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Sophie,,0
2,37,2,17,2,4,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Sophie,,0
2,38,2,6,1,3,6/19/2019,,no,no,51,101,53,48,,,,,,,Sophie,Sophie,no,0
2,39,2,77,2,2,6/19/2019,,no,no,71,113,113,,,,,,,,Sophie,Sophie,no,0
2,40,2,47,2,4,6/19/2019,,no,no,20,63,63,,,,,,,,Sophie,Sophie,no,0
2,41,2,64,1,3,6/19/2019,,no,no,8,87,55,28,4,,,,,,Sophie,Sophie,no,0
2,42,2,57,5,1,6/19/2019,,maybe,no,0,0,,,,,,,,,Sophie,Sophie,no,0
2,43,2,57,1,4,6/19/2019,,maybe,no,0,0,,,,,,,,,Sophie,Sophie,no,0
2,44,2,15,2,3,6/19/2019,,no,no,35,92,92,,,,,,,,Sophie,Sophie,no,0
2,45,2,79,5,2,6/19/2019,,no,no,16,57,15,42,,,,,,,Sophie,Sophie,no,0
2,46,2,17,5,4,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Sophie,,0
3,1,1,12,5,1,6/19/2019,,nothing there,yes,0,0,,,,,,,,,Sophie,Vanessa,,0
3,2,1,68,3,4,6/19/2019,,no,no,43,119,92,27,,,,,,,Sophie,Vanessa,no,0
3,3,1,14,5,1,6/19/2019,,no,no,61,162,55,50,57,,,,,,Sophie,Vanessa,no,0
3,4,1,9,2,2,6/19/2019,,no,no,55,247,97,150,,,,,,,Sophie,Vanessa,no,0
3,5,1,13,5,5,6/19/2019,,no,no,37,117,79,38,,,,,,,Sophie,Vanessa,yes,1
