x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.14,2014-02-14 00:00:00,ON,2014,2,14,-1.9,,-4.4,,0.7,,0,,,M,,M,23,,,M,,M,0,,19.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.15,2014-02-15 00:00:00,ON,2014,2,15,-7.2,,-11.9,,-2.4,,0,,,M,,M,23,,,M,,M,0,,25.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.16,2014-02-16 00:00:00,ON,2014,2,16,-9.9,,-12.8,,-6.9,,0,,,M,,M,23,,,M,,M,0,,27.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.17,2014-02-17 00:00:00,ON,2014,2,17,-8.1,,-14,,-2.2,,0.4,,,M,,M,23,,,M,,M,0,,26.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.18,2014-02-18 00:00:00,ON,2014,2,18,-1.8,,-4.2,,0.7,,5.7,,,M,,M,28,,,M,,M,0,,19.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.19,2014-02-19 00:00:00,ON,2014,2,19,3.2,,-1.4,,7.8,,0.2,,,M,,M,28,,,M,,M,0,,14.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.20,2014-02-20 00:00:00,ON,2014,2,20,0.8,,-1,,2.6,,13.4,,,M,,M,24,,,M,,M,0,,17.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.21,2014-02-21 00:00:00,ON,2014,2,21,2.9,,0.7,,5.1,,8.7,,,M,,M,21,,,M,,M,0,,15.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.22,2014-02-22 00:00:00,ON,2014,2,22,1.9,,-0.6,,4.3,,0,,,M,,M,17,,,M,,M,0,,16.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.23,2014-02-23 00:00:00,ON,2014,2,23,-1.7,,-4.7,,1.4,,0,,,M,,M,17,,,M,,M,0,,19.7,,,,,
