"","Population","Row","Column","Block","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Year","Pop_ID"
"11",30,21,21,3,3,4,"2 inflors. one with dwarf premature flowers. other with same and 2 later flowers that may open but not sure. no follicles this year","8/21/2020","8/21/2020",NA,NA,2,1,3.95,2.46,9.22,4.2,9.13,7.76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.74,2.74,9.54,4.58,7.74,8.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.717,NA,NA,7.5076,NA,NA,NA,NA,NA,9.717,7.5076,NA,8.6123,38.724,NA,NA,43.6932,NA,NA,NA,NA,NA,38.724,43.6932,NA,41.2086,70.8488,NA,NA,66.0996,NA,NA,NA,NA,NA,70.8488,66.0996,NA,68.4742,39.4317,1,2,"AS043",43.71387,-79.505919,"North",11929.4361220938,11.9294361220938,"Urban",0.942832,"2020",NA
"12",31,11,46,4,1,5,NA,"7/24/2020","7/28/2020","8/14/2020",11,4,16,4.15,1.89,9.71,4.09,10.22,10.22,2,3.65,2.08,9.13,4.93,9.59,9.48,0,2.46,1.97,9.59,4.16,7.53,7.6,0,20,3.47,1.77,8.8,4.45,7.85,7.91,1,3.93,2.11,8.47,4.46,9.6,9.41,2,3.67,1.82,9.27,4.2,8.6,8.64,2,62,3.63,2.2,8.52,3.96,10.01,9.77,3,3.53,1.97,8.17,3.83,9.33,9.11,0,3.02,2.09,8.12,4.53,8.3,8.22,0,1,7.8435,7.592,4.8462,6.1419,8.2923,6.6794,7.986,6.9541,6.3118,6.76056666666667,7.03786666666667,7.08396666666667,6.9608,39.7139,45.0109,39.8944,39.16,37.7762,38.934,33.7392,31.2911,36.7836,41.5397333333333,38.6234,33.9379666666667,38.0337,104.4484,90.9132,57.228,62.0935,90.336,74.304,97.7977,84.9963,68.226,84.1965333333333,75.5778333333333,83.6733333333333,81.1492333333333,42.0479111111111,32.6666666666667,98,"AS044",43.713092,-79.515599,"North",12549.9941861896,12.5499941861896,"Urban",1.87618,"2020",NA
"13",31,3,34,2,1,3,"no follicles this year","7/28/2020","7/28/2020",NA,NA,1,5,4.06,2.06,9.23,4.1,9.85,9.69,3,2.43,1.77,8.81,4.03,7.31,7.25,2,3.12,1.93,9.49,4.21,8.38,8.53,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.3636,4.3011,6.0216,NA,NA,NA,NA,NA,NA,6.22876666666667,NA,NA,6.22876666666667,37.843,35.5043,39.9529,NA,NA,NA,NA,NA,NA,37.7667333333333,NA,NA,37.7667333333333,95.4465,52.9975,71.4814,NA,NA,NA,NA,NA,NA,73.3084666666667,NA,NA,73.3084666666667,39.1013222222222,5,5,"AS044",43.713092,-79.515599,"North",12549.9941861896,12.5499941861896,"Urban",1.87618,"2020",NA
"14",39,21,32,4,4,3,NA,"7/15/2020","7/18/2020","8/5/2020",3,2,10,1.86,3.48,7.7,4.18,8.52,7.8,0,3.92,2.17,8.41,4.2,8.44,8.19,1,3.12,2.02,8.8,4.06,7.94,8.23,3,34,3.56,1.96,8.45,4.06,7.96,8.28,4,3.07,2.06,8.77,4.21,8.34,8.34,2,3.63,2.18,7.42,4.18,8.75,8.28,3,21,3.34,2.04,9.25,4.17,8.38,8.33,1,3.56,2.04,9.04,3.15,8.46,8.28,1,3.23,2.03,8.04,3.77,8.4,8.83,2,1,6.4728,8.5064,6.3024,6.9776,6.3242,7.9134,6.8136,7.2624,6.5569,7.09386666666667,7.07173333333333,6.87763333333333,7.01441111111111,32.186,35.322,35.728,34.307,36.9217,31.0156,38.5725,28.476,30.3108,34.412,34.0814333333333,32.4531,33.6488444444444,66.456,69.1236,65.3462,65.9088,69.5556,72.45,69.8054,70.0488,74.172,66.9752666666667,69.3048,71.3420666666667,69.2073777777778,36.6235444444444,21.6666666666667,65,"AS052",43.701432,-79.56251,"North",15458.9940728025,15.4589940728025,"Urban",2.30737,"2020",NA
"15",46,5,18,1,5,3,NA,"7/28/2020","7/31/2020","8/18/2020",5,2,36,3.64,2.01,9.32,3.7,8.71,8.78,5,2.55,2.02,8.38,3.29,8.05,7.47,5,3.27,2.04,7.36,3.58,8.22,8.27,2,34,3.13,2.36,8.04,3.85,8.83,8.75,3,3.94,2.03,8.61,3.53,9.13,8.85,4,3.78,2.16,9,3.79,9.05,8.93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.3164,5.151,6.6708,7.3868,7.9982,8.1648,NA,NA,NA,6.3794,7.84993333333333,NA,7.11466666666667,34.484,27.5702,26.3488,30.954,30.3933,34.11,NA,NA,NA,29.4676666666667,31.8191,NA,30.6433833333333,76.4738,60.1335,67.9794,77.2625,80.8005,80.8165,NA,NA,NA,68.1955666666667,79.6265,NA,73.9110333333333,37.2230277777778,35,70,"AS059",43.343046,-79.959704,"Rural",58314.3855323293,58.3143855323293,"Rural",-2.26854,"2020",NA
"16",57,10,37,2,1,1,"accidentally pulled off inflor 1 so no follicles from that one... also on 9/19 there were only 2 premature follicles left and they both aborted. no follicles this year.","8/18/2020","8/25/2020",NA,NA,4,10,3.68,2.06,7.68,4.74,9,9.2,0,2.82,2.05,8.02,4.72,7.86,8.12,0,3.24,1.96,7.75,4.25,8.4,8.38,0,2,3.29,2.25,7.7,4.73,8.94,9.22,0,3.85,2.23,8.84,4.9,9.98,10.16,1,NA,NA,NA,NA,NA,NA,NA,19,3.58,2.26,8.44,4.32,9.65,9.72,0,3.58,2.21,8.57,3.77,9.4,9.41,1,4.13,2.42,9.02,4.73,10.42,9.4,1,1,7.5808,5.781,6.3504,7.4025,8.5855,NA,8.0908,7.9118,9.9946,6.57073333333333,7.994,8.66573333333333,7.74348888888889,36.4032,37.8544,32.9375,36.421,43.316,NA,36.4608,32.3089,42.6646,35.7317,39.8685,37.1447666666667,37.5816555555556,82.8,63.8232,70.392,82.4268,101.3968,NA,93.798,88.454,97.948,72.3384,91.9118,93.4,85.8834,43.7361814814815,10.3333333333333,31,"AS070",43.67024,-79.462135,"South",6722.34816456428,6.72234816456428,"Urban",2.71762,"2020",NA
"17",61,12,4,3,1,3,"Only 2 flowers on entire plant.","7/13/2020","7/13/2020",NA,NA,1,2,2.12,3.45,4.23,7.21,9.02,9.01,0,2.1,2.75,4.58,6.93,7.94,8.66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.314,5.775,NA,NA,NA,NA,NA,NA,NA,6.5445,NA,NA,6.5445,30.4983,31.7394,NA,NA,NA,NA,NA,NA,NA,31.11885,NA,NA,31.11885,81.2702,68.7604,NA,NA,NA,NA,NA,NA,NA,75.0153,NA,NA,75.0153,37.55955,2,2,"AS074",43.654607,-79.607519,"North",18252.5904969499,18.2525904969498,"Urban",0.644411,"2020",NA
"18",61,10,28,2,4,1,NA,"7/31/2020","7/31/2020","8/21/2020",3,2,47,3.33,2.05,8.56,4.76,8.52,8.03,0,3.68,2.08,9.66,4.71,9.69,9.29,2,3.36,2.01,9.88,3.87,8.89,9.14,0,52,3.86,2.26,11.09,4.09,10.02,9.71,3,3.61,2.22,9.94,4.16,9.66,9.84,3,3.61,2.27,10.77,4.29,9.61,9.89,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.8265,7.6544,6.7536,8.7236,8.0142,8.1947,NA,NA,NA,7.07816666666667,8.31083333333333,NA,7.6945,40.7456,45.4986,38.2356,45.3581,41.3504,46.2033,NA,NA,NA,41.4932666666667,44.3039333333333,NA,42.8986,68.4156,90.0201,81.2546,97.2942,95.0544,95.0429,NA,NA,NA,79.8967666666667,95.7971666666667,NA,87.8469666666667,46.1466888888889,49.5,99,"AS074",43.654607,-79.607519,"North",18252.5904969499,18.2525904969498,"Urban",0.644411,"2020",NA
"19",64,7,38,2,3,4,NA,"7/31/2020","8/5/2020","8/21/2020",1,2,12,3.57,2.55,9.65,4.38,9.3,9.36,3,3.32,2.58,9.15,4.53,10.17,9.92,0,3.86,2.48,10.53,4.45,9.71,9.52,0,16,3.44,2.29,8.75,4.95,9.04,9.16,2,2.9,2.12,8.22,4.15,8.85,8.34,1,2.87,2.09,7.52,4.81,6.98,7.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.1035,8.5656,9.5728,7.8776,6.148,5.9983,NA,NA,NA,9.08063333333333,6.67463333333333,NA,7.87763333333333,42.267,41.4495,46.8585,43.3125,34.113,36.1712,NA,NA,NA,43.525,37.8655666666667,NA,40.6952833333333,87.048,100.8864,92.4392,82.8064,73.809,54.9326,NA,NA,NA,93.4578666666667,70.516,NA,81.9869333333333,43.51995,14,28,"AS077",43.628807,-79.652009,"North",22053.3186692026,22.0533186692026,"Urban",1.05287,"2020",NA
"20",64,18,4,3,5,4,NA,"7/21/2020","7/28/2020","8/18/2020",5,3,35,3.13,2.3,8.72,4.05,8.81,8.72,0,3.42,2.02,8.03,4.14,8.5,7.75,0,2.73,1.84,7.94,4.41,7.93,8.23,0,31,3.16,1.98,8.6,4.3,8.53,8.53,0,2.8,2.12,7.87,3.99,8.01,8,0,2.35,1.95,7.17,4.06,7.25,7.28,0,24,3.5,2.39,7.86,4.24,9.05,9.22,2,3.96,2.17,7.99,4.13,9.05,8.81,1,3.15,2.2,7.35,3.52,8.63,8.89,0,1,7.199,6.9084,5.0232,6.2568,5.936,4.5825,8.365,8.5932,6.93,6.37686666666667,5.59176666666667,7.96273333333333,6.64378888888889,35.316,33.2442,35.0154,36.98,31.4013,29.1102,33.3264,32.9987,25.872,34.5252,32.4971666666667,30.7323666666667,32.5849111111111,76.8232,65.875,65.2639,72.7609,64.08,52.78,83.441,79.7305,76.7207,69.3207,63.2069666666667,79.9640666666667,70.8305777777778,36.6864259259259,30,90,"AS077",43.628807,-79.652009,"North",22053.3186692026,22.0533186692026,"Urban",1.05287,"2020",NA
"21",72,9,19,1,3,1,NA,"8/21/2020","8/25/2020",NA,NA,2,33,3.11,2.56,7.65,4.36,8.74,9.19,3,3.33,2.58,8.17,4.45,9.63,9.34,2,3.31,2.5,8.06,4.12,9.43,9.47,3,1,3.17,2.14,6.4,3.93,8.96,8.99,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.9616,8.5914,8.275,6.7838,NA,NA,NA,NA,NA,8.276,6.7838,NA,7.5299,33.354,36.3565,33.2072,25.152,NA,NA,NA,NA,NA,34.3059,25.152,NA,29.72895,80.3206,89.9442,89.3021,80.5504,NA,NA,NA,NA,NA,86.5223,80.5504,NA,83.53635,40.2650666666667,17,34,"AS085",43.5789,-79.713398,"North",28148.0398703139,28.1480398703139,"Urban",1.55917,"2020",NA
