"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flowered2022"
"103",3,11,"1","49","3","4",NA,NA,NA,NA,NA,NA,"0"
"104",3,12,"1","15","2","4",NA,NA,NA,NA,NA,NA,"0"
"105",3,13,"1","39","2","2",NA,"7/4/2022","7/6/2022","8/2/2022",1,3,"1"
"106",3,14,"1","2","2","5",NA,"6/29/2022","7/15/2022","7/27/2022",9,5,"1"
"107",3,15,"1","64","3","2",NA,NA,NA,NA,NA,NA,"0"
"108",3,16,"1","31","2","2",NA,NA,NA,NA,NA,NA,"0"
"109",3,17,"1","8","2","5",NA,"7/11/2022","7/15/2022","8/8/2022",4,5,"1"
"110",3,18,"1","17","1","1",NA,NA,NA,NA,NA,NA,"0"
"111",3,19,"1","18","1","4","second inflor too eaten ","7/13/2022","7/25/2022","8/4/2022",8,4,"1"
"112",3,20,"1","36","2","2",NA,"7/1/2022","7/13/2022","7/25/2022",6,3,"1"
"113",3,21,"1","7","3","1",NA,NA,NA,NA,NA,NA,"0"
"114",3,22,"1","69","2","1",NA,NA,NA,NA,NA,NA,"0"
"115",3,23,"1","30","5","4","only 2 inflor","7/22/2022","7/25/2022",NA,0,2,"1"
"116",3,24,"2","4","4","5",NA,"7/15/2022","7/25/2022","8/8/2022",13,5,"1"
"117",3,25,"2","16","3","4",NA,NA,NA,NA,NA,NA,"0"
"118",3,26,"2","62","3","1",NA,"7/15/2022","7/22/2022","8/8/2022",17,5,"1"
"119",3,27,"2","39","4","2",NA,NA,NA,NA,NA,NA,"0"
"120",3,28,"2","77","3","2",NA,"7/18/2022","7/25/2022","8/15/2022",17,7,"1"
"121",3,29,"2","4","4","4",NA,"7/13/2022","7/20/2022","8/8/2022",17,5,"1"
"122",3,30,"2","72","1","3",NA,NA,NA,NA,NA,NA,"0"
"123",3,31,"2","56","4","4",NA,NA,NA,NA,NA,NA,"0"
"124",3,32,"2","36","3","5",NA,NA,NA,NA,NA,NA,"0"
"125",3,33,"2","21","2","5",NA,NA,NA,NA,NA,NA,"0"
"126",3,34,"2","31","1","3",NA,"7/22/2022","7/29/2022","8/10/2022",7,4,"1"
"127",3,35,"2","77","5","5",NA,NA,NA,NA,NA,NA,"0"
"128",3,36,"2","72","2","3",NA,NA,NA,NA,NA,NA,"0"
"129",3,37,"2","56","2","1",NA,NA,NA,NA,NA,NA,"0"
"130",3,38,"2","46","2","3","only 2 inflor ","7/20/2022","7/20/2022","8/17/2022",2,2,"1"
"131",3,39,"2","49","5","3",NA,"7/6/2022","7/20/2022","8/10/2022",9,6,"1"
"132",3,40,"2","12","5","3",NA,NA,NA,NA,NA,NA,"0"
"133",3,41,"2","67","4","3",NA,"7/11/2022","7/22/2022","8/4/2022",3,3,"1"
"134",3,42,"2","46","2","2",NA,"7/29/2022","8/12/2022","8/8/2022",26,4,"1"
"135",3,43,"2","40","5","2",NA,NA,NA,NA,NA,NA,"0"
"136",3,44,"2","67","2","5","only 2 inflor ","7/18/2022","7/20/2022","8/15/2022",1,2,"1"
"137",3,45,"2","1","1","5",NA,NA,NA,NA,NA,NA,"0"
"138",3,46,"2","19","1","1",NA,"7/1/2022","7/6/2022","8/2/2022",3,3,"1"
"139",4,1,"1","21","4","1",NA,"7/1/2022","7/13/2022","8/2/2022",3,8,"1"
"140",4,2,"1","79","2","1",NA,NA,NA,NA,NA,NA,"0"
"141",4,3,"1","12","4","1",NA,NA,NA,NA,NA,NA,"0"
"142",4,4,"1","47","3","5",NA,NA,NA,NA,NA,NA,"0"
"143",4,5,"1","47","1","1",NA,NA,NA,NA,NA,NA,"0"
"144",4,6,"1","21","2","3",NA,"7/1/2022","7/22/2022","8/4/2022",7,4,"1"
"145",4,7,"1","1","2","1",NA,NA,NA,NA,NA,NA,"0"
"146",4,8,"1","1","2","2",NA,"7/15/2022","7/27/2022","8/8/2022",20,11,"1"
"147",4,9,"1","30","4","3",NA,NA,NA,NA,NA,NA,"0"
"148",4,10,"1","61","5","1",NA,NA,NA,NA,NA,NA,"0"
"149",4,11,"1","1","4","1","only 2 inflor, both too eaten ","7/18/2022","7/18/2022",NA,0,2,"0"
"150",4,12,"1","6","4","5",NA,NA,NA,NA,NA,NA,"0"
"151",4,13,"1","17","4","4",NA,NA,NA,NA,NA,NA,"0"
"152",4,14,"1","79","4","4",NA,NA,NA,NA,NA,NA,"0"
"153",4,15,"1","36","2","1",NA,NA,NA,NA,NA,NA,"0"
"154",4,16,"1","4","1","1",NA,NA,NA,NA,NA,NA,"0"
"155",4,17,"1","56","4","2","only 1 inflor and only 1 flower left ","7/18/2022","7/18/2022",NA,0,1,"1"
"156",4,18,"1","67","1","4",NA,NA,NA,NA,NA,NA,"0"
"158",4,20,"1","8","1","1",NA,NA,NA,NA,NA,NA,"0"
"159",4,21,"1","72","5","5",NA,NA,NA,NA,NA,NA,"0"
"160",4,22,"1","12","4","4",NA,NA,NA,NA,NA,NA,"0"
"161",4,23,"1","74","2","5",NA,NA,NA,NA,NA,NA,"0"
"162",4,24,"2","77","1","4",NA,NA,NA,NA,NA,NA,"0"
"163",4,25,"2","15","2","5","only 2 inflor","7/6/2022","7/8/2022",NA,0,2,"1"
