"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flowered2022"
"344",8,22,"1","29","4","3",NA,NA,NA,NA,NA,NA,"0"
"345",8,23,"2","68","5","2",NA,NA,NA,NA,NA,NA,"0"
"346",8,24,"2","4","2","2",NA,NA,NA,NA,NA,NA,"0"
"347",8,25,"2","46","2","5",NA,NA,NA,NA,NA,NA,"0"
"348",8,26,"2","68","4","1",NA,NA,NA,NA,NA,NA,"0"
"349",8,27,"2","6","3","5",NA,NA,NA,NA,NA,NA,"0"
"350",8,28,"2","7","1","2",NA,NA,NA,NA,NA,NA,"0"
"351",8,29,"2","35","3","5",NA,NA,NA,NA,NA,NA,"0"
"352",8,30,"2","39","3","3",NA,NA,NA,NA,NA,NA,"0"
"353",8,31,"2","62","4","4",NA,NA,NA,NA,NA,NA,"0"
"354",8,32,"2","4","3","3",NA,NA,NA,NA,NA,NA,"0"
"355",8,33,"2","21","1","2",NA,NA,NA,NA,NA,NA,"0"
"356",8,34,"2","77","4","3",NA,"6/29/2022","7/11/2022","7/25/2022",8,6,"1"
"357",8,35,"2","17","4","2",NA,NA,NA,NA,NA,NA,"0"
"358",8,36,"2","27","5","2",NA,NA,NA,NA,NA,NA,"0"
"359",8,37,"2","26","1","1","first 2 inflor both only has 1 flower","7/6/2022","7/11/2022","8/2/2022",4,5,"1"
"360",8,38,"2","17","3","1",NA,NA,NA,NA,NA,NA,"0"
"361",8,39,"2","5","4","1",NA,NA,NA,NA,NA,NA,"0"
"362",8,40,"2","39","3","5",NA,NA,NA,NA,NA,NA,"0"
"363",8,41,"2","64","2","2",NA,NA,NA,NA,NA,NA,"0"
"364",8,42,"2","64","3","3",NA,NA,NA,NA,NA,NA,"0"
"365",8,43,"2","39","4","1",NA,NA,NA,NA,NA,NA,"0"
"366",8,44,"2","62","1","3",NA,NA,NA,NA,NA,NA,"0"
"367",8,45,"2","67","2","2",NA,NA,NA,NA,NA,NA,"0"
"368",8,46,"2","67","5","3",NA,NA,NA,NA,NA,NA,"0"
"369",9,1,"1","28","1","5",NA,"7/1/2022","7/20/2022","7/27/2022",15,9,"1"
"370",9,2,"1","4","3","1",NA,"7/20/2022","7/25/2022","8/10/2022",5,4,"1"
"371",9,3,"1","12","3","1",NA,"6/29/2022","7/25/2022","7/25/2022",4,5,"1"
"372",9,4,"1","27","4","1",NA,NA,NA,NA,NA,NA,"0"
"373",9,5,"1","1","4","3",NA,"7/4/2022","7/25/2022","8/10/2022",1,3,"1"
"374",9,6,"1","49","5","5",NA,NA,NA,NA,NA,NA,"0"
"375",9,7,"1","39","3","4","last inflor entirely gone ","7/4/2022","7/11/2022",NA,0,4,"1"
"376",9,8,"1","77","3","1",NA,NA,NA,NA,NA,NA,"0"
"377",9,9,"1","3","2","2",NA,NA,NA,NA,NA,NA,"0"
"378",9,10,"1","69","2","4",NA,NA,NA,NA,NA,NA,"0"
"379",9,11,"1","17","2","5",NA,NA,NA,NA,NA,NA,"0"
"380",9,12,"1","51","4","2",NA,NA,NA,NA,NA,NA,"0"
"381",9,13,"1","79","1","1",NA,NA,NA,NA,NA,NA,"0"
"382",9,14,"1","5","5","5",NA,NA,NA,NA,NA,NA,"0"
"383",9,15,"1","13","5","2","NO POT",NA,NA,NA,NA,NA,"0"
"384",9,16,"1","30","5","3",NA,NA,NA,NA,NA,NA,"0"
"385",9,17,"1","39","3","2",NA,NA,NA,NA,NA,NA,"0"
"386",9,18,"1","20","1","2",NA,NA,NA,NA,NA,NA,"0"
"387",9,19,"1","72","3","1",NA,"7/15/2022","7/25/2022","8/10/2022",6,4,"1"
"388",9,20,"1","7","3","3",NA,NA,NA,NA,NA,NA,"0"
"389",9,21,"1","79","4","2",NA,NA,NA,NA,NA,NA,"0"
"390",9,22,"1","15","3","5",NA,NA,NA,NA,NA,NA,"0"
"391",9,23,"2","45","2","1",NA,NA,NA,NA,NA,NA,"0"
"392",9,24,"2","27","4","5",NA,NA,NA,NA,NA,NA,"0"
"393",9,25,"2","64","5","3",NA,NA,NA,NA,NA,NA,"0"
"394",9,26,"2","77","1","2",NA,NA,NA,NA,NA,NA,"0"
"395",9,27,"2","64","2","4",NA,NA,NA,NA,NA,NA,"0"
"396",9,28,"2","7","3","5",NA,NA,NA,NA,NA,NA,"0"
"397",9,29,"2","35","4","1",NA,"7/15/2022","7/15/2022",NA,NA,NA,"0"
"398",9,30,"2","36","4","1","only 2 inflor","6/29/2022","7/6/2022",NA,0,2,"1"
"399",9,31,"2","45","2","4",NA,NA,NA,NA,NA,NA,"0"
"400",9,32,"2","15","3","1","1st inflor only 1 flower left ","7/8/2022","7/11/2022",NA,0,4,"1"
"401",9,33,"2","77","5","3",NA,NA,NA,NA,NA,NA,"0"
"402",9,34,"2","36","3","1",NA,NA,NA,NA,NA,NA,"0"
"403",9,35,"2","49","3","1",NA,NA,NA,NA,NA,NA,"0"
"404",9,36,"2","39","5","2",NA,NA,NA,NA,NA,NA,"0"
"405",9,37,"2","6","4","4",NA,NA,NA,NA,NA,NA,"0"
"406",9,38,"2","57","5","4",NA,NA,NA,NA,NA,NA,"0"
"407",9,39,"2","15","5","4",NA,NA,NA,NA,NA,NA,"0"
"408",9,40,"2","62","5","5",NA,"7/4/2022","7/13/2022","7/29/2022",9,4,"1"
"409",9,41,"2","17","3","5",NA,NA,NA,NA,NA,NA,"0"
"410",9,42,"2","47","5","4",NA,NA,NA,NA,NA,NA,"0"
"411",9,43,"2","35","2","2",NA,NA,NA,NA,NA,NA,"0"
"412",9,44,"2","5","2","3",NA,NA,NA,NA,NA,NA,"0"
"413",9,45,"2","72","3","4","only 1 inflor ","8/4/2022","8/4/2022",NA,0,1,"1"
"414",9,46,"2","1","1","4",NA,NA,NA,NA,NA,NA,"0"
"415",10,1,"1","14","4","5",NA,"7/4/2022","7/8/2022",NA,0,3,"1"
"416",10,2,"1","62","4","5",NA,"7/18/2022","7/22/2022","8/8/2022",11,6,"1"
"417",10,3,"1","79","3","1",NA,NA,NA,NA,NA,NA,"0"
"418",10,4,"1","56","4","1","only 1 inflor, too eaten to measure ","7/29/2022","7/29/2022",NA,0,1,"1"
"419",10,5,"1","1","5","2",NA,NA,NA,NA,NA,NA,"0"
"420",10,6,"1","62","4","2",NA,NA,NA,NA,NA,NA,"0"
"421",10,7,"1","7","3","4",NA,NA,NA,NA,NA,NA,"0"
"422",10,8,"1","42","1","1",NA,NA,NA,NA,NA,NA,"0"
"423",10,9,"1","69","1","2",NA,NA,NA,NA,NA,NA,"0"
"424",10,10,"1","67","4","5",NA,NA,NA,NA,NA,NA,"0"
"425",10,11,"1","16","3","3",NA,NA,NA,NA,NA,NA,"0"
"426",10,12,"1","72","4","4","only 2 inflor ","7/4/2022","7/6/2022",NA,0,2,"1"
"427",10,13,"1","12","3","4",NA,NA,NA,NA,NA,NA,"0"
"428",10,14,"1","42","2","1",NA,NA,NA,NA,NA,NA,"0"
"429",10,15,"1","61","3","3",NA,"7/11/2022","7/18/2022","8/4/2022",20,6,"1"
"430",10,16,"1","23","1","4","only 1 inflor, too eaten ","7/8/2022","7/8/2022",NA,0,1,"1"
"431",10,17,"1","17","5","3",NA,NA,NA,NA,NA,NA,"0"
"432",10,18,"1","72","1","5","1ST inflor eaten","6/29/2022","7/6/2022",NA,0,3,"0"
"433",10,19,"1","9","2","4",NA,NA,NA,NA,NA,NA,"0"
"434",10,20,"1","31","2","1",NA,NA,NA,NA,NA,NA,"0"
"435",10,21,"1","47","5","2",NA,NA,NA,NA,NA,NA,"0"
"436",10,22,"1","46","1","1","only 2 inflor","7/6/2022","7/8/2022","8/2/2022",2,2,"1"
"437",10,23,"1","31","3","3",NA,"7/20/2022","7/25/2022",NA,0,NA,"1"
"438",10,24,"2","5","3","5",NA,NA,NA,NA,NA,NA,"0"
"439",10,25,"2","14","1","3",NA,NA,NA,NA,NA,NA,"0"
"440",10,26,"2","3","5","4",NA,NA,NA,NA,NA,NA,"0"
"441",10,27,"2","30","3","3",NA,NA,NA,NA,NA,NA,"0"
"442",10,28,"2","61","4","1",NA,NA,NA,NA,NA,NA,"0"
"443",10,29,"2","31","5","2",NA,NA,NA,NA,NA,NA,"0"
"444",10,30,"2","41","2","4",NA,NA,NA,NA,NA,NA,"0"
"445",10,31,"2","47","4","1",NA,NA,NA,NA,NA,NA,"0"
"446",10,32,"2","16","1","2",NA,NA,NA,NA,NA,NA,"0"
"447",10,33,"2","28","4","5",NA,NA,NA,NA,NA,NA,"0"
"448",10,34,"2","5","5","2",NA,NA,NA,NA,NA,NA,"0"
"449",10,35,"2","56","2","4",NA,NA,NA,NA,NA,NA,"0"
"450",10,36,"2","72","5","1",NA,NA,NA,NA,NA,NA,"0"
"451",10,37,"2","57","1","1",NA,NA,NA,NA,NA,NA,"0"
"452",10,38,"2","57","1","3",NA,NA,NA,NA,NA,NA,"0"
"453",10,39,"2","79","3","5",NA,NA,NA,NA,NA,NA,"0"
"454",10,40,"2","68","4","4",NA,NA,NA,NA,NA,NA,"0"
"455",10,41,"4","15","2","1",NA,NA,NA,NA,NA,NA,"0"
"456",10,42,"4","5","4","4",NA,NA,NA,NA,NA,NA,"0"
"457",10,43,"4","32","1","4",NA,NA,NA,NA,NA,NA,"0"
"458",10,44,"4","61","1","1",NA,NA,NA,NA,NA,NA,"0"
"459",10,45,"4","31","3","2",NA,NA,NA,NA,NA,NA,"0"
"460",10,46,"4","47","4","2",NA,NA,NA,NA,NA,NA,"0"
"461",11,1,"1","64","1","1",NA,NA,NA,NA,NA,NA,"0"
"462",11,2,"1","3","4","1",NA,NA,NA,NA,NA,NA,"0"
"463",11,3,"1","11","1","3",NA,"7/8/2022","7/20/2022","8/4/2022",9,7,"1"
"464",11,4,"1","11","3","2",NA,NA,NA,NA,NA,NA,"0"
"465",11,5,"1","18","3","1",NA,NA,NA,NA,NA,NA,"0"
"466",11,6,"1","29","4","1",NA,NA,NA,NA,NA,NA,"0"
"467",11,7,"1","35","5","3",NA,NA,NA,NA,NA,NA,"0"
"468",11,8,"1","64","1","4",NA,NA,NA,NA,NA,NA,"0"
"469",11,9,"1","2","1","2",NA,NA,NA,NA,NA,NA,"0"
"470",11,10,"1","64","5","1",NA,NA,NA,NA,NA,NA,"0"
"471",11,11,"1","36","1","2",NA,NA,NA,NA,NA,NA,"0"
"472",11,12,"1","67","5","5",NA,NA,NA,NA,NA,NA,"0"
"473",11,13,"1","61","1","5","only 1 inflor, too eaten ","7/8/2022","7/8/2022",NA,0,1,"0"
"474",11,14,"1","74","2","2",NA,NA,NA,NA,NA,NA,"0"
"475",11,15,"1","68","2","5",NA,NA,NA,NA,NA,NA,"0"
"476",11,16,"1","29","2","2",NA,NA,NA,NA,NA,NA,"0"
"477",11,17,"1","40","5","1",NA,NA,NA,NA,NA,NA,"0"
"478",11,18,"1","1","2","4",NA,NA,NA,NA,NA,NA,"0"
"479",11,19,"1","74","1","5",NA,NA,NA,NA,NA,NA,"0"
"480",11,20,"1","2","4","5",NA,NA,NA,NA,NA,NA,"0"
"481",11,21,"1","4","2","4",NA,NA,NA,NA,NA,NA,"0"
"482",11,22,"1","9","1","2",NA,NA,NA,NA,NA,NA,"0"
"483",11,23,"1","39","5","1",NA,NA,NA,NA,NA,NA,"0"
"484",11,24,"4","57","2","1",NA,NA,NA,NA,NA,NA,"0"
"485",11,25,"4","17","4","1",NA,NA,NA,NA,NA,NA,"0"
"486",11,26,"4","67","1","3",NA,"7/22/2022","7/27/2022","8/17/2022",6,3,"1"
"487",11,27,"4","42","2","4",NA,"7/6/2022","7/13/2022","8/4/2022",3,3,"1"
"488",11,28,"4","12","2","1",NA,"7/29/2022","8/4/2022",NA,0,3,"1"
"489",11,29,"4","30","2","1",NA,NA,NA,NA,NA,NA,"0"
"490",11,30,"4","4","4","1","too eaten to be evaluated ","7/6/2022","7/13/2022",NA,NA,1,"0"
"491",11,31,"4","17","4","5",NA,NA,NA,NA,NA,NA,"0"
"492",11,32,"4","35","4","3",NA,NA,NA,NA,NA,NA,"0"
"493",11,33,"4","68","5","5",NA,NA,NA,NA,NA,NA,"0"
"494",11,34,"4","67","1","2",NA,NA,NA,NA,NA,NA,"0"
"495",11,35,"4","40","3","2",NA,"7/13/2022","7/20/2022","8/8/2022",9,6,"1"
"496",11,36,"4","68","5","4",NA,"7/22/2022","7/29/2022","8/12/2022",14,4,"1"
"497",11,37,"4","4","2","1",NA,NA,NA,NA,NA,NA,"0"
"498",11,38,"4","28","1","2",NA,NA,NA,NA,NA,NA,"0"
"499",11,39,"4","26","1","4",NA,"6/27/2022","7/13/2022","7/20/2022",21,7,"1"
"500",11,40,"4","6","3","4",NA,NA,NA,NA,NA,NA,"0"
"501",11,41,"4","16","1","1",NA,NA,NA,NA,NA,NA,"0"
"502",11,42,"4","42","1","4",NA,NA,NA,NA,NA,NA,"0"
"503",11,43,"4","41","1","4",NA,NA,NA,NA,NA,NA,"0"
"504",11,44,"4","21","3","3",NA,NA,NA,NA,NA,NA,"0"
"505",11,45,"4","35","3","3",NA,NA,NA,NA,NA,NA,"0"
"506",11,46,"4","31","1","5",NA,"6/29/2022","7/15/2022","7/25/2022",6,7,"1"
"507",12,1,"3","7","1","1",NA,NA,NA,NA,NA,NA,"0"
"508",12,2,"3","1","3","2",NA,NA,NA,NA,NA,NA,"0"
"509",12,3,"3","47","4","3","only 1 inflor ","7/11/2022","7/13/2022",NA,0,1,"1"
"510",12,4,"3","61","1","3","2nd inflor is eaten","7/6/2022","7/18/2022","8/8/2022",1,2,"1"
"511",12,5,"3","46","1","2",NA,"7/1/2022","7/13/2022","8/4/2022",3,3,"1"
"512",12,6,"3","79","2","2",NA,NA,NA,NA,NA,NA,"0"
"513",12,7,"3","9","1","4",NA,NA,NA,NA,NA,NA,"0"
"514",12,8,"3","32","1","1",NA,"7/4/2022","7/27/2022","8/2/2022",8,12,"1"
"515",12,9,"3","7","2","4",NA,NA,NA,NA,NA,NA,"0"
"516",12,10,"3","72","5","4",NA,NA,NA,NA,NA,NA,"0"
"517",12,11,"3","47","1","4",NA,NA,NA,NA,NA,NA,"0"
"518",12,12,"3","62","2","2",NA,NA,NA,NA,NA,NA,"0"
"519",12,13,"3","46","3","2",NA,NA,NA,NA,NA,NA,"0"
"520",12,14,"3","41","2","3",NA,NA,NA,NA,NA,NA,"0"
"521",12,15,"3","67","4","1",NA,NA,NA,NA,NA,NA,"0"
"522",12,16,"3","67","4","2",NA,NA,NA,NA,NA,NA,"0"
"523",12,17,"3","8","1","2",NA,NA,NA,NA,NA,NA,"0"
"524",12,18,"3","36","5","2",NA,NA,NA,NA,NA,NA,"0"
"525",12,19,"3","57","5","5",NA,NA,NA,NA,NA,NA,"0"
"526",12,20,"3","68","2","3",NA,NA,NA,NA,NA,NA,"0"
"527",12,21,"3","23","1","1",NA,NA,NA,NA,NA,NA,"0"
"528",12,22,"1","21","4","3","only 2 inflor ","7/18/2022","7/20/2022",NA,0,2,"1"
"529",12,23,"1","6","1","1",NA,NA,NA,NA,NA,NA,"0"
"530",12,24,"4","17","3","4",NA,NA,NA,NA,NA,NA,"0"
"531",12,25,"4","57","4","4",NA,NA,NA,NA,NA,NA,"0"
"532",12,26,"4","29","5","3",NA,"7/4/2022","7/20/2022",NA,0,5,"1"
"533",12,27,"4","6","1","2",NA,NA,NA,NA,NA,NA,"0"
"534",12,28,"4","17","2","3",NA,NA,NA,NA,NA,NA,"0"
"535",12,29,"4","41","1","3",NA,NA,NA,NA,NA,NA,"0"
"536",12,30,"4","14","4","3",NA,NA,NA,NA,NA,NA,"0"
"537",12,31,"4","51","4","1",NA,"7/4/2022","7/13/2022","7/25/2022",11,5,"1"
"538",12,32,"4","28","4","4",NA,NA,NA,NA,NA,NA,"0"
"539",12,33,"4","35","5","2",NA,NA,NA,NA,NA,NA,"0"
"540",12,34,"4","61","1","2",NA,NA,NA,NA,NA,NA,"0"
"541",12,35,"4","72","3","3",NA,NA,NA,NA,NA,NA,"0"
"542",12,36,"4","14","4","1",NA,NA,NA,NA,NA,NA,"0"
"543",12,37,"4","40","4","1",NA,NA,NA,NA,NA,NA,"0"
"544",12,38,"4","57","2","5",NA,NA,NA,NA,NA,NA,"0"
"545",12,39,"4","68","1","1",NA,NA,NA,NA,NA,NA,"0"
"546",12,40,"4","45","2","2",NA,NA,NA,NA,NA,NA,"0"
"547",12,41,"4","13","1","2",NA,NA,NA,NA,NA,NA,"0"
"548",12,42,"4","47","5","3",NA,NA,NA,NA,NA,NA,"0"
"549",12,43,"4","19","1","5",NA,NA,NA,NA,NA,NA,"0"
"550",12,44,"4","64","5","2",NA,NA,NA,NA,NA,NA,"0"
"551",12,45,"4","21","5","5",NA,NA,NA,NA,NA,NA,"0"
"552",12,46,"4","21","5","4","first inflor is too eaten to be measured","7/29/2022","8/2/2022",NA,0,3,"1"
"553",13,1,"3","72","2","2",NA,NA,NA,NA,NA,NA,"0"
"554",13,2,"3","39","3","1","only 1 inflor, second one is too eaten to even count","7/18/2022","7/18/2022","8/22/2022",1,1,"1"
"555",13,3,"3","13","1","3",NA,NA,NA,NA,NA,NA,"0"
"556",13,4,"3","41","1","4",NA,NA,NA,NA,NA,NA,"0"
"557",13,5,"3","77","2","5",NA,NA,NA,NA,NA,NA,"0"
"558",13,6,"3","35","5","5",NA,NA,NA,NA,NA,NA,"0"
"559",13,7,"3","20","2","2",NA,NA,NA,NA,NA,NA,"0"
"560",13,8,"3","42","2","5",NA,NA,NA,NA,NA,NA,"0"
"561",13,9,"3","77","4","4",NA,NA,NA,NA,NA,NA,"0"
"562",13,10,"3","49","1","1","only 1 inflor ","8/2/2022","8/2/2022",NA,0,1,"1"
"563",13,11,"3","49","2","4",NA,NA,NA,NA,NA,NA,"0"
"564",13,12,"3","13","3","3",NA,NA,NA,NA,NA,NA,"0"
"565",13,13,"3","17","1","2",NA,NA,NA,NA,NA,NA,"0"
"566",13,14,"3","61","5","3",NA,NA,NA,NA,NA,NA,"0"
"567",13,15,"3","62","1","4",NA,NA,NA,NA,NA,NA,"0"
"568",13,16,"3","61","4","3",NA,NA,NA,NA,NA,NA,"0"
"569",13,17,"3","14","1","2",NA,NA,NA,NA,NA,NA,"0"
"570",13,18,"3","14","5","5",NA,NA,NA,NA,NA,NA,"0"
"571",13,19,"3","72","3","2",NA,NA,NA,NA,NA,NA,"0"
"572",13,20,"3","20","5","5",NA,NA,NA,NA,NA,NA,"0"
"573",13,21,"3","19","3","1",NA,NA,NA,NA,NA,NA,"0"
"574",13,22,"3","46","3","3",NA,NA,NA,NA,NA,NA,"0"
"575",13,23,"3","56","4","3",NA,NA,NA,NA,NA,NA,"0"
"576",13,24,"3","11","2","3",NA,NA,NA,NA,NA,NA,"0"
"577",13,25,"3","62","2","4","only 2 inflor","7/4/2022","7/11/2022",NA,0,2,"1"
"578",13,26,"4","49","1","2",NA,NA,NA,NA,NA,NA,"0"
"579",13,27,"4","1","2","3","only 1 inflor","8/2/2022","8/2/2022",NA,0,1,"1"
"580",13,28,"4","11","1","1",NA,NA,NA,NA,NA,NA,"0"
"581",13,29,"4","12","1","2",NA,"7/6/2022","7/27/2022",NA,0,4,"1"
"582",13,30,"4","7","5","1",NA,NA,NA,NA,NA,NA,"0"
"583",13,31,"4","1","2","5",NA,NA,NA,NA,NA,NA,"0"
"584",13,32,"4","61","3","4",NA,NA,NA,NA,NA,NA,"0"
"585",13,33,"4","57","1","5",NA,NA,NA,NA,NA,NA,"0"
"586",13,34,"4","35","2","4",NA,NA,NA,NA,NA,NA,"0"
"587",13,35,"4","6","5","3",NA,NA,NA,NA,NA,NA,"0"
"588",13,36,"4","79","4","3",NA,NA,NA,NA,NA,NA,"0"
"589",13,37,"4","39","5","4",NA,NA,NA,NA,NA,NA,"0"
"590",13,38,"4","9","2","5",NA,NA,NA,NA,NA,NA,"0"
"591",13,39,"4","5","1","3",NA,NA,NA,NA,NA,NA,"0"
"592",13,40,"4","56","2","2",NA,NA,NA,NA,NA,NA,"0"
"593",13,41,"4","12","1","3",NA,NA,NA,NA,NA,NA,"0"
"594",13,42,"4","19","5","5",NA,NA,NA,NA,NA,NA,"0"
"595",13,43,"4","1","3","1",NA,NA,NA,NA,NA,NA,"0"
"596",13,44,"4","27","3","2",NA,NA,NA,NA,NA,NA,"0"
"597",13,45,"4","19","5","1",NA,NA,NA,NA,NA,NA,"0"
"598",13,46,"4","68","1","2",NA,NA,NA,NA,NA,NA,"0"
"599",14,1,"3","57","2","3",NA,NA,NA,NA,NA,NA,"0"
"600",14,2,"3","21","4","5",NA,NA,NA,NA,NA,NA,"0"
"601",14,3,"3","21","1","3",NA,"7/1/2022","7/18/2022","8/4/2022",5,12,"1"
"602",14,4,"3","11","1","4",NA,NA,NA,NA,NA,NA,"0"
"603",14,5,"3","41","2","1",NA,"7/8/2022","7/18/2022","8/8/2022",3,4,"1"
"604",14,6,"3","4","1","5",NA,NA,NA,NA,NA,NA,"0"
"605",14,7,"3","21","1","4",NA,"7/8/2022","7/18/2022","8/8/2022",3,3,"1"
"606",14,8,"3","7","1","5",NA,NA,NA,NA,NA,NA,"0"
"607",14,9,"3","19","3","4","only 2 inflor","7/8/2022","7/11/2022",NA,0,2,"1"
"608",14,10,"3","57","3","1",NA,NA,NA,NA,NA,NA,"0"
"609",14,11,"3","74","2","4",NA,NA,NA,NA,NA,NA,"0"
"610",14,12,"3","35","3","1",NA,"7/4/2022","7/18/2022","8/12/2022",1,4,"1"
"611",14,13,"3","29","2","1",NA,NA,NA,NA,NA,NA,"0"
"612",14,14,"3","13","2","4",NA,NA,NA,NA,NA,NA,"0"
"613",14,15,"3","77","5","4","only 2 inflor ","7/8/2022","7/15/2022","8/2/2022",1,2,"1"
"614",14,16,"3","35","2","5",NA,"7/13/2022","7/20/2022",NA,0,5,"1"
"615",14,17,"3","47","3","2","1ST inflor eaten, only 2 left ","7/1/2022","7/13/2022","7/25/2022",8,8,"1"
"616",14,18,"3","62","4","3","inflor eaten before bloom ",NA,NA,NA,NA,NA,"0"
"617",14,19,"3","30","4","2",NA,NA,NA,NA,NA,NA,"0"
"618",14,20,"3","31","4","3",NA,NA,NA,NA,NA,NA,"0"
"619",14,21,"3","46","4","2",NA,NA,NA,NA,NA,NA,"0"
"620",14,22,"3","49","3","3",NA,NA,NA,NA,NA,NA,"0"
"621",14,23,"3","49","4","1",NA,NA,NA,NA,NA,NA,"0"
"622",14,24,"3","31","4","4",NA,NA,NA,NA,NA,NA,"0"
"623",14,25,"3","40","4","2",NA,NA,NA,NA,NA,NA,"0"
"624",14,26,"4","13","2","5",NA,NA,NA,NA,NA,NA,"0"
"625",14,27,"4","6","5","2",NA,NA,NA,NA,NA,NA,"0"
"626",14,28,"4","46","5","2",NA,NA,NA,NA,NA,NA,"0"
"627",14,29,"4","19","1","2","1st inflor too eaten ","7/20/2022","8/2/2022","8/15/2022",1,8,"1"
"628",14,30,"4","47","2","1",NA,NA,NA,NA,NA,NA,"0"
"629",14,31,"4","2","1","3",NA,NA,NA,NA,NA,NA,"0"
"630",14,32,"4","12","2","3",NA,"7/8/2022","7/22/2022","8/10/2022",1,5,"1"
"631",14,33,"4","13","3","5",NA,NA,NA,NA,NA,NA,"0"
"632",14,34,"4","5","4","3",NA,NA,NA,NA,NA,NA,"0"
"633",14,35,"4","79","2","4",NA,NA,NA,NA,NA,NA,"0"
"634",14,36,"4","41","2","2",NA,NA,NA,NA,NA,NA,"0"
"635",14,37,"4","35","4","2",NA,NA,NA,NA,NA,NA,"0"
"636",14,38,"4","17","1","5",NA,NA,NA,NA,NA,NA,"0"
"637",14,39,"4","13","2","1",NA,NA,NA,NA,NA,NA,"0"
"638",14,40,"4","12","4","2",NA,NA,NA,NA,NA,NA,"0"
"639",14,41,"4","19","2","4",NA,NA,NA,NA,NA,NA,"0"
"640",14,42,"4","39","1","5",NA,NA,NA,NA,NA,NA,"0"
"641",14,43,"4","41","1","2",NA,"7/13/2022","7/25/2022","8/17/2022",3,4,"1"
"642",14,44,"4","20","2","1",NA,NA,NA,NA,NA,NA,"0"
"643",14,45,"4","5","1","5",NA,NA,NA,NA,NA,NA,"0"
"644",14,46,"4","35","5","1",NA,NA,NA,NA,NA,NA,"0"
"645",15,1,"3","4","5","4",NA,NA,NA,NA,NA,NA,"0"
"646",15,2,"3","29","3","4",NA,NA,NA,NA,NA,NA,"0"
"647",15,3,"3","41","1","3",NA,NA,NA,NA,NA,NA,"0"
"648",15,4,"3","27","4","2",NA,NA,NA,NA,NA,NA,"0"
"649",15,5,"3","46","4","3",NA,NA,NA,NA,NA,NA,"0"
"650",15,6,"3","31","2","3",NA,NA,NA,NA,NA,NA,"0"
"651",15,7,"3","17","4","3",NA,NA,NA,NA,NA,NA,"0"
"652",15,8,"3","57","2","4",NA,NA,NA,NA,NA,NA,"0"
"653",15,9,"3","18","3","3",NA,NA,NA,NA,NA,NA,"0"
"654",15,10,"3","8","3","2",NA,NA,NA,NA,NA,NA,"0"
"655",15,11,"3","68","2","2",NA,NA,NA,NA,NA,NA,"0"
"656",15,12,"3","68","4","2",NA,NA,NA,NA,NA,NA,"0"
"657",15,13,"3","27","3","4",NA,NA,NA,NA,NA,NA,"0"
"658",15,14,"3","17","3","3",NA,NA,NA,NA,NA,NA,"0"
"659",15,15,"3","14","3","3",NA,NA,NA,NA,NA,NA,"0"
"660",15,16,"3","1","5","5",NA,NA,NA,NA,NA,NA,"0"
"661",15,17,"3","57","3","4",NA,NA,NA,NA,NA,NA,"0"
"662",15,18,"3","21","2","1",NA,NA,NA,NA,NA,NA,"0"
"663",15,19,"3","20","3","4",NA,NA,NA,NA,NA,NA,"0"
"664",15,20,"3","27","3","1",NA,NA,NA,NA,NA,NA,"0"
"665",15,21,"3","67","2","4",NA,NA,NA,NA,NA,NA,"0"
"666",15,22,"3","7","4","1",NA,NA,NA,NA,NA,NA,"0"
"667",15,23,"3","27","5","4",NA,NA,NA,NA,NA,NA,"0"
"668",15,24,"3","68","3","1",NA,NA,NA,NA,NA,NA,"0"
"669",15,25,"3","74","1","2",NA,NA,NA,NA,NA,NA,"0"
"670",15,26,"4","29","3","1",NA,NA,NA,NA,NA,NA,"0"
"671",15,27,"4","29","2","4",NA,NA,NA,NA,NA,NA,"0"
"672",15,28,"4","15","3","3",NA,NA,NA,NA,NA,NA,"0"
"673",15,29,"4","14","2","5",NA,NA,NA,NA,NA,NA,"0"
"674",15,30,"4","31","3","5",NA,NA,NA,NA,NA,NA,"0"
"675",15,31,"4","69","1","1",NA,NA,NA,NA,NA,NA,"0"
"676",15,32,"4","77","2","3",NA,NA,NA,NA,NA,NA,"0"
"677",15,33,"4","4","5","1","only 2 inflor ","7/15/2022","7/15/2022",NA,0,2,"1"
"678",15,34,"4","11","3","4",NA,NA,NA,NA,NA,NA,"0"
"679",15,35,"4","57","4","1",NA,NA,NA,NA,NA,NA,"0"
"680",15,36,"4","72","4","2",NA,NA,NA,NA,NA,NA,"0"
"681",15,37,"4","5","1","1",NA,NA,NA,NA,NA,NA,"0"
"682",15,38,"4","56","4","5",NA,NA,NA,NA,NA,NA,"0"
"683",15,39,"4","40","2","5",NA,NA,NA,NA,NA,NA,"0"
"684",15,40,"4","9","1","1",NA,NA,NA,NA,NA,NA,"0"
"685",15,41,"4","40","3","3",NA,"7/1/2022","7/11/2022","7/25/2022",20,7,"1"
"686",15,42,"4","3","3","4",NA,NA,NA,NA,NA,NA,"0"
"687",15,43,"4","20","5","2",NA,"7/15/2022","7/22/2022",NA,0,3,"1"
"688",15,44,"4","3","2","1",NA,NA,NA,NA,NA,NA,"0"
"689",15,45,"4","41","4","5",NA,NA,NA,NA,NA,NA,"0"
