"","Row","Column","Block","Population","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2022","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count"
"11",2,2,"1","6","2","5",NA,"6/27/2022","7/13/2022","7/20/2022",17,9,53,4.14,2.59,6.19,3.76,7.18,7.02,0,3.98,2.33,6.34,4.02,7.14,6.98,1,3.56,1.94,7.51,3.97,7.58,7.33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",10.7226,9.2734,6.9064,NA,NA,NA,NA,NA,NA,8.96746666666667,NA,NA,8.96746666666667,23.2744,25.4868,29.8147,NA,NA,NA,NA,NA,NA,26.1919666666667,NA,NA,26.1919666666667,50.4036,49.8372,55.5614,NA,NA,NA,NA,NA,NA,51.9340666666667,NA,NA,51.9340666666667,29.0311666666667,53,53
"12",2,3,"1","68","1","4",NA,"7/04/2022","7/06/2022","08/02/2022",2,3,38,3.17,2.3,8.9,4.07,8.69,8.31,0,3.56,2.14,8.65,3.95,8.47,8.85,0,3.23,2.08,8.63,3.98,8.69,8.63,1,36,3.63,2.34,8.76,3.77,7.82,8.01,1,3.95,2.14,8.99,3.87,8.47,8.15,0,3.58,2.11,8.41,3.67,8.96,8.37,0,23,4.09,1.94,9.18,3.44,8.12,7.72,0,3.84,1.86,8.73,3.56,8.44,9.06,0,3.67,1.95,8.62,3.65,8.31,8.14,0,"1",7.291,7.6184,6.7184,8.4942,8.453,7.5538,7.9346,7.1424,7.1565,7.20926666666667,8.167,7.41116666666667,7.59581111111111,36.223,34.1675,34.3474,33.0252,34.7913,30.8647,31.5792,31.0788,31.463,34.9126333333333,32.8937333333333,31.3736666666667,33.0600111111111,72.2139,74.9595,74.9947,62.6382,69.0305,74.9952,62.6864,76.4664,67.6434,74.0560333333333,68.8879666666667,68.9320666666667,70.6253555555556,37.0937259259259,32.3333333333333,97
"13",2,4,"1","39","2","1",NA,"7/01/2022","7/20/2022","7/25/2022",13,8,41,4.11,2.36,8.03,4.52,10.06,9.72,1,4.02,2.51,8.25,4.16,9.08,8.66,0,3.95,2.11,7.95,3.47,9.65,9.14,0,29,3.86,2.18,7.74,4.31,9.34,9.16,0,3.64,1.93,9.05,3.67,8.99,9.07,0,3.69,2.17,8.67,3.14,9.51,8.79,1,29,4.16,2.04,8.06,4.31,8.93,9.13,0,3.94,2.12,8.15,3.52,8.69,9.11,1,3.57,1.89,8.54,3.86,8.99,8.64,0,"1",9.6996,10.0902,8.3345,8.4148,7.0252,8.0073,8.4864,8.3528,6.7473,9.37476666666667,7.81576666666667,7.86216666666667,8.3509,36.2956,34.32,27.5865,33.3594,33.2135,27.2238,34.7386,28.688,32.9644,32.7340333333333,31.2655666666667,32.1303333333333,32.0433111111111,97.7832,78.6328,88.201,85.5544,81.5393,83.5929,81.5309,79.1659,77.6736,88.2056666666667,83.5622,79.4568,83.7415555555556,41.3785888888889,33,99
"14",2,5,"/","49","3","5",NA,"7/04/2022","7/11/2022","08/04/2022",3,3,35,3.11,1.86,7.56,3.61,7.79,7.24,1,3.02,1.95,7.69,3.15,7.96,7.65,1,3.25,2.16,8.14,3.48,8.01,7.89,0,37,3.16,1.89,6.37,3.18,8.29,8.04,0,3.18,1.97,6.98,3.14,8.47,8.14,2,3.25,2.03,7.12,3.27,8.16,8.03,0,29,3.39,2.24,6.9,4.44,8.01,7.64,0,3.65,2.84,7.18,4.31,8.26,8.61,1,3.67,2.17,7.54,3.68,8.26,8.63,0,"1",5.7846,5.889,7.02,5.9724,6.2646,6.5975,7.5936,10.366,7.9639,6.2312,6.27816666666667,8.64116666666667,7.05017777777778,27.2916,24.2235,28.3272,20.2566,21.9172,23.2824,30.636,30.9458,27.7472,26.6141,21.8187333333333,29.7763333333333,26.0697222222222,56.3996,60.894,63.1989,66.6516,68.9458,65.5248,61.1964,71.1186,71.2838,60.1641666666667,67.0407333333333,67.8662666666667,65.0237222222222,32.7145407407407,33.6666666666667,101
"15",2,9,"1","21","3","4",NA,"7/06/2022","7/08/2022","08/04/2022",1,3,10,2.77,1.83,7.68,3.71,7.97,8.01,0,2.95,1.87,7.58,3.45,8.14,8.16,0,2.84,1.69,8.25,3.61,8.25,8.37,1,24,3.08,2.24,7.23,3.7,8.5,8.12,0,3.12,2.11,7.58,3.64,8.14,8.06,0,3.62,2.07,8.69,3.51,8.65,8.07,1,22,3.08,1.57,7.09,3.96,8.59,8.51,0,3.17,1.68,7.28,3.66,8.62,8.34,0,3.57,3.15,7.95,3.41,8.21,8.09,2,"1",5.0691,5.5165,4.7996,6.8992,6.5832,7.4934,4.8356,5.3256,11.2455,5.1284,6.99193333333333,7.13556666666667,6.41863333333333,28.4928,26.151,29.7825,26.751,27.5912,30.5019,28.0764,26.6448,27.1095,28.1421,28.2813666666667,27.2769,27.9001222222222,63.8397,66.4224,69.0525,69.02,65.6084,69.8055,73.1009,71.8908,66.4189,66.4382,68.1446333333333,70.4702,68.3510111111111,34.2232555555556,18.6666666666667,56
"16",2,13,"1","36","2","4","only 1 inflor","7/11/2022","7/11/2022","08/08/2022",4,1,15,2.78,1.96,8.57,4.21,9.34,9.36,0,2.96,1.89,8.58,4.35,9.16,9.41,0,2.87,2.03,8.14,4.06,9.55,9.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.4488,5.5944,5.8261,NA,NA,NA,NA,NA,NA,5.6231,NA,NA,5.6231,36.0797,37.323,33.0484,NA,NA,NA,NA,NA,NA,35.4837,NA,NA,35.4837,87.4224,86.1956,88.242,NA,NA,NA,NA,NA,NA,87.2866666666667,NA,NA,87.2866666666667,42.7978222222222,15,15
"17",2,14,"1","35","2","1",NA,"7/11/2022","7/25/2022","08/04/2022",14,6,65,2.64,2.15,2.97,3.18,8.26,7.93,3,3.84,2.01,8.49,3.12,8.69,8.33,2,3.86,2.06,8.47,4.11,8.55,8.16,0,28,3.36,2.19,8.46,3.99,7.89,7.66,3,3.64,2.18,8.69,3.57,7.95,7.68,2,3.22,2.05,8.39,3.51,8.05,7.94,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.676,7.7184,7.9516,7.3584,7.9352,6.601,NA,NA,NA,7.11533333333333,7.2982,NA,7.20676666666667,9.4446,26.4888,34.8117,33.7554,31.0233,29.4489,NA,NA,NA,23.5817,31.4092,NA,27.49545,65.5018,72.3877,69.768,60.4374,61.056,63.917,NA,NA,NA,69.2191666666667,61.8034666666667,NA,65.5113166666667,33.4045111111111,43.6666666666667,131
"18",2,16,"1","40","2","2","only 2 inflor ","7/06/2022","7/08/2022",NA,0,2,20,2.76,1.9,7.17,4.02,8.71,8.09,0,2.84,2.03,7.58,3.95,8.51,8.64,2,2.69,1.75,7.64,3.71,8.32,8.07,0,19,2.33,1.81,7.18,3.47,6.82,6.44,0,2.56,2.17,7.05,3.58,6.95,7.02,0,2.97,1.97,7.78,3.57,6.58,6.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.244,5.7652,4.7075,4.2173,5.5552,5.8509,NA,NA,NA,5.2389,5.2078,NA,5.22335,28.8234,29.941,28.3444,24.9146,25.239,27.7746,NA,NA,NA,29.0362666666667,25.9760666666667,NA,27.5061666666667,70.4639,73.5264,67.1424,43.9208,48.789,42.7042,NA,NA,NA,70.3775666666667,45.138,NA,57.7577833333333,30.1624333333333,19.5,39
"19",2,18,"1","6","4","2",NA,"7/06/2022","7/25/2022","7/27/2022",10,7,39,2.29,1.95,6.16,3.28,7.09,6.89,1,2.36,1.84,6.25,3.47,7.58,7.14,0,3.01,1.96,6.38,3.41,8.01,7.68,1,13,2.18,1.95,5.66,3.31,6.58,6.47,0,2.22,1.84,5.89,3.14,6.94,6.57,1,2.65,1.93,6.11,3.15,6.57,6.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",4.4655,4.3424,5.8996,4.251,4.0848,5.1145,NA,NA,NA,4.9025,4.48343333333333,NA,4.69296666666667,20.2048,21.6875,21.7558,18.7346,18.4946,19.2465,NA,NA,NA,21.2160333333333,18.8252333333333,NA,20.0206333333333,48.8501,54.1212,61.5168,42.5726,45.5958,45.2016,NA,NA,NA,54.8293666666667,44.4566666666667,NA,49.6430166666667,24.7855388888889,26,52
"20",2,22,"1","77","1","5",NA,"6/29/2022","7/06/2022","7/22/2022",15,5,40,3.35,2.07,7.16,4.08,9.56,9.47,1,4.05,2.25,6.36,4.22,8.69,8.36,0,3.78,2.45,7.96,4.23,8.69,8.35,0,34,3.15,2.31,6.32,3.68,7.56,7.55,1,4.56,2.58,7.85,3.91,8.65,8.97,1,3.56,2.02,7.68,3.95,8.01,8.33,0,1,3.36,2.13,7.25,4.1,9.66,9.51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.9345,9.1125,9.261,7.2765,11.7648,7.1912,7.1568,NA,NA,8.436,8.74416666666667,7.1568,8.11232222222222,29.2128,26.8392,33.6708,23.2576,30.6935,30.336,29.725,NA,NA,29.9076,28.0957,29.725,29.2427666666667,90.5332,72.6484,72.5615,57.078,77.5905,66.7233,91.8666,NA,NA,78.5810333333333,67.1306,91.8666,79.1927444444444,38.8492777777778,25,75
