Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
MW012,12,11,28,4,2,1,NA,3,4.33,2.33,7.43,3.85,8.29,8.58,0,4.25,2.48,8.17,3.93,8.42,8.45,0,4.34,2.29,6.22,3.85,7.7,7.69,2,26,5.01,2.47,6.49,3.74,8.58,8.71,1,3.98,2.23,6.54,3.22,9.39,9.4,3,4.06,2.25,6.55,3.96,7.55,7.86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW012,12,7,33,2,2,2,NA,20,5.39,2.27,8.03,3.88,8.72,8.86,1,5.25,2.29,8.86,4.03,9.58,9.42,1,4.69,2.14,7.81,3.85,9.23,8.24,0,22,4.71,1.9,7.74,3.67,8.33,8.43,2,5.26,2.21,8.19,3.35,9.52,9.21,0,5.41,1.92,8.63,3.61,8.92,8.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW012,12,14,32,4,2,3,NA,46,2.97,2,6.98,3.46,7.82,7.52,1,3.33,1.7,6.2,3.62,8.72,8.64,2,4,1.88,4.42,3.78,8.29,8.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW012,12,17,17,3,2,5,Second inflor completely eaten except for corollas,19,4.29,2.52,7.35,3.68,8.93,8.25,2,4.85,2.46,8.55,4.25,8.56,8.42,2,3.67,2.25,7.78,4.18,8.25,8.39,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW012,12,3,1,1,5,1,NA,4,3.35,2.71,4.4,3.78,6.44,6.68,0,2.45,1.98,5.72,4.46,7.78,7.87,0,3.03,2.05,4.85,3.76,6.45,7.37,0,10,3.49,2.09,5.99,3.95,7.44,8.06,0,3.63,2.32,7.43,4.24,6.81,8.44,0,4.04,1.87,6.44,4.67,6.29,5.82,1,19,4.11,2.37,7.22,4.75,7.52,7.9,0,4.01,2.35,6.48,4.23,6.66,6.78,0,4.4,2.37,6.55,4.3,7.5,7.43,0
MW012,12,3,40,2,5,3,NA,1,4.36,2.38,7.81,4.02,8.22,8.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3.92,2.06,7.6,4.15,8.85,8.77,0,4.07,2.46,8.22,4.26,8.97,9.73,0,3.26,2.27,7.63,4.32,8.22,7.68,4,22,5.29,2.24,7.39,4.07,9.48,9.59,2,5.01,2.13,8.19,3.78,9.65,9.82,3,4.51,2.11,5.96,3.6,8.82,8.85,2
MW013,13,14,39,4,2,1,NA,32,3.18,2.58,7.48,4.52,9.09,9.72,2,3.52,2.73,7.81,4.48,9.8,9.81,0,3.81,2.57,8.18,4.49,9.5,9.7,0,24,3.26,2.41,8.55,4.23,9.6,9.52,0,3.78,2.5,8.3,4.42,9.89,9.23,0,4.32,2.62,7.92,4.16,9.06,9.25,0,29,3.76,2.69,8.75,4.82,9.93,9.49,1,3.42,2.51,9.52,4.23,9.2,9.11,1,3.92,2.35,7.41,4.4,7.31,7.53,8
MW013,13,3,5,1,5,5,NA,62,4.18,2.26,8.93,3.53,7.19,7.15,4,4.52,2.27,9.28,4.32,7.46,7.27,4,4.65,2.35,8.67,3.94,7.31,7.26,NA,34,4.28,2.29,9.82,4.08,7.4,7.95,1,4.4,2.34,9.56,4.4,7.26,7.22,3,4.04,2.18,8.65,4.12,7.64,7.41,0,29,4.84,2.36,9.09,4.12,7.84,7.75,2,4.13,2.17,8.76,3.88,8.2,8.19,1,4.42,2.39,9.35,3.61,8.26,8.38,0
MW015,15,19,45,4,3,2,NA,28,2.24,4.41,6.72,3.71,7.58,7.83,1,2.79,5.44,8.45,4.69,8.02,8.75,0,2.53,3.18,7.18,4.65,8.82,9.66,0,15,5.05,2.49,7.43,4.5,9.47,8.86,2,5.21,2.58,9.12,4.15,7.69,7.82,0,5.59,2.8,7.98,4.83,7.87,8.36,1,25,5.15,2.46,4.36,8.76,8.01,7.91,2,4.83,2.46,8.07,4.11,7.39,7.33,0,2.24,4.64,7.44,3.38,8.18,8.23,1
MW015,15,8,20,1,5,1,really interesting! super short plant (30ish cm) yet has 8 inflors! id guess over 100 flowers!,23,3.42,2.14,7.61,3.83,9.11,9.27,0,3.88,2.85,7.68,3.75,9.08,9.25,1,4.41,2.11,7.8,3.71,9.44,9.34,1,21,4.12,2.07,7.79,4.39,9.1,8.87,1,4.19,2.1,7.33,3.91,7.39,8.12,0,4.34,2.17,7.9,3.9,8.76,8.21,2,5,4.05,2.11,6.27,3.88,6.17,6.34,0,4.42,1.91,6.5,3.67,8.79,8.94,2,4.03,2.03,8.11,3.78,6.72,7.98,1
MW016,16,7,41,2,3,5,NA,18,4.06,2.4,7.3,4.78,10.48,10.29,3,4.1,2.55,6.155,5.26,9.01,8.72,0,3.54,2.52,6,4.68,10.17,10.24,3,30,3.26,2.73,6.24,4.89,9.99,9.81,0,4.09,2.33,6.96,4.19,8.82,8.6,0,3.38,2.28,7.15,4.43,9.16,9.82,2,6,3.65,2.18,6.58,3.7,7.29,7.75,0,3.93,2.32,6.36,4.3,8.07,7.31,1,3.42,2.48,7.37,4.05,7.92,7.26,0
MW017,17,3,18,1,1,1,NA,15,3.85,2.17,6.13,3.85,6.96,7.21,0,3.48,2.2,6.9,4.02,8.49,8.19,0,3.91,2.41,6.37,3.71,7.8,8.12,1,11,4.5,2.06,6.74,3.96,7.3,7.05,0,4.15,2.11,6.19,3.54,6.3,6.32,0,3.65,2.02,7.46,3.82,8.07,8.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW018,18,1,37,2,1,2,NA,2,3.72,2.32,5.76,4.06,7.7,7.79,0,4.24,2.38,6.7,3.9,7.35,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
