Row,Column,Block,Population,Family,Replicate,Date,Surveyor,Comment,Scar_length_mm,Height_cm_ram1,Height_cm_ram2,Height_cm_ram3,Height_cm_ram4,Height_cm_ram5,Height_cm_ram6,Height_cm_ram7,Height_cm_ram8,Height_cm_ram9,Height_cm_ram10,Height_cm_ram11,Height_cm_ram12,Height_cm_ram13,Height_cm_ram14,Height_cm_ram15,Height_cm_ram16
2,31,2,68,3,3,7/3/2021,Sophie,,132.5,27.5,21,21.1,21.2,32,28.6,,,,,,,,,,
2,32,2,14,4,2,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
2,33,2,72,1,2,7/3/2021,Sophie,,162.42,42.3,34,31,6.1,43.1,41.6,33.8,38.2,,,,,,,,
2,34,2,2,4,3,7/3/2021,Sophie,,74.7,42.2,46.6,35.7,,,,,,,,,,,,,
2,35,2,4,1,2,7/3/2021,Sophie,,103.4,10.6,34.2,31.4,34.8,30.2,27,19.3,29.8,32.2,,,,,,,
2,36,2,49,4,3,7/3/2021,Sophie,,16.3,5.3,12.7,11.5,16,14.4,,,,,,,,,,,
2,37,2,17,2,4,7/3/2021,Sophie,,0,30.5,13.4,6.3,31.3,,,,,,,,,,,,
2,38,2,6,1,3,7/3/2021,Sophie,,136,9.1,13.6,21.1,37,20.4,25.6,31,34,,,,,,,,
2,39,2,77,2,2,7/3/2021,Sophie,,354,15,17.9,16.6,16.6,9,8.3,7,22.1,33.7,60.7,59.1,63.6,62.7,41,37.9,54.7
2,40,2,47,2,4,7/3/2021,Sophie,,190.1,3.7,8.1,17.3,3.9,38.7,31.2,38.4,43.6,34.9,48.6,,,,,,
2,41,2,64,1,3,7/3/2021,Sophie,,291.4,5.5,4.5,3.8,47.6,55.4,43.6,46.1,48.7,35,16,25.4,15.7,,,,
2,42,2,57,5,1,7/3/2021,Sophie,,13.5,6,15.2,11.4,17.6,23,,,,,,,,,,,
2,43,2,57,1,4,7/3/2021,Sophie,,66.6,9.3,12.5,42.9,3.6,10.4,,,,,,,,,,,
2,44,2,15,2,3,7/3/2021,Sophie,,31.2,33.5,27.2,14.2,2,,,,,,,,,,,,
2,45,2,79,5,2,7/3/2021,Sophie,,147.8,43,46.3,9.3,18.9,1.8,,,,,,,,,,,
2,46,2,17,5,4,7/3/2021,Sophie,,77.29,49.1,18.2,18.4,13.3,13.1,,,,,,,,,,,
3,1,1,12,5,1,7/3/2021,Samer,,173.5,13.5,10.2,12.2,20.5,57.2,74.1,55.8,53.8,24.6,,,,,,,
3,2,1,68,3,4,7/3/2021,Samer,,150.56,7.9,8.2,36.8,25.6,33.8,34.8,17.8,31.2,19.6,,,,,,,
3,3,1,14,5,1,7/3/2021,Samer,,82.48,38.1,32.8,13.7,11.6,9.7,20.2,,,,,,,,,,
3,4,1,9,2,2,7/3/2021,Samer,,88.17,7.5,36.5,24.1,21.5,41.2,28.4,,,,,,,,,,
