Row,Column,Block,Population,Family,Replicate,Comment,Date_oldest_inflor_flower,Date_youngest_inflor_flower,Date_first_follicle_2in,Pods,Peduncles,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
1,31,2,31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,2,62,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,2,13,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,2,13,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,2,19,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,2,30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,2,18,1,2,,7/12/2021,7/19/2021,,0,1,2,3.72,2.32,5.76,4.06,7.7,7.79,0,4.24,2.38,6.7,3.9,7.35,6.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,38,2,31,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,2,7,4,2,,7/19/2021,7/23/2021,08/19/2021,1,2,20,3.19,2.33,5.16,4.14,6.61,7.02,0,3.52,2.22,6.99,4.39,7.43,7.69,0,4.04,2.3,7.14,3.98,6.98,7.29,0,16,3.79,2.38,6.86,4.49,8.48,8.47,0,3.83,2.26,6.9,4.43,7.63,7.81,0,3.67,2.29,7.7,3.94,6.22,6.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,40,2,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,2,23,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,2,36,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,2,30,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,2,62,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,2,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,79,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1,68,1,4,Flowers eaten before quantified,7/19/2022,7/19/2021,,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,1,39,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1,49,3,5,Flowers eaten before quantified,7/19/2021,7/19/2021,,0,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,1,14,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,1,56,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,1,27,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,1,21,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
